method,documents,dimensions,query,repetition,top_k,recall,request_ms,elapsed_ms,nodes,random_nodes,bitplane_words,documents_scored,leaf_words,peak_mask_bytes,key_attempts,keys_generated,peak_key_queue_bytes,stop_reason
scan,65,256,1,1,65,1.0,0.006667338311672211,0.005125,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,2,1,65,1.0,0.006834045052528381,0.005333,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,3,1,65,1.0,0.006709247827529907,0.005166,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,4,1,65,1.0,0.006832648068666458,0.005292,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,5,1,65,1.0,0.00658305361866951,0.005125,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,6,1,65,1.0,0.006542075425386429,0.005084,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,7,1,65,1.0,0.006791204214096069,0.005292,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,0,2,65,1.0,0.006583984941244125,0.005042,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,1,2,65,1.0,0.006457790732383728,0.005,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,2,2,65,1.0,0.006624963134527206,0.005166,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,3,2,65,1.0,0.0064158812165260315,0.004959,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,4,2,65,1.0,0.006541609764099121,0.005042,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,5,2,65,1.0,0.006459187716245651,0.004958,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,6,2,65,1.0,0.006458256393671036,0.004875,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,7,2,65,1.0,0.006790738552808762,0.005208,0,0,0,65,0,0,0,0,0,exhausted
branch,65,256,0,0,65,1.0,0.01258309930562973,0.010084,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,1,0,65,1.0,0.01458311453461647,0.012166,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,2,0,65,1.0,0.014207791537046432,0.012167,5,0,4,65,6,64,0,0,0,exhausted
branch,65,256,3,0,65,1.0,0.01420825719833374,0.01225,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,4,0,65,1.0,0.014042016118764877,0.012083,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,5,0,65,1.0,0.013916753232479095,0.012042,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,6,0,65,1.0,0.0139591284096241,0.012125,5,0,4,65,6,64,0,0,0,exhausted
branch,65,256,7,0,65,1.0,0.013875309377908707,0.012,5,0,4,65,6,64,0,0,0,exhausted
branch,65,256,0,1,65,1.0,0.012167263776063919,0.010208,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,1,1,65,1.0,0.012875068932771683,0.011083,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,2,1,65,1.0,0.012875068932771683,0.010791,5,0,4,65,6,64,0,0,0,exhausted
branch,65,256,3,1,65,1.0,0.012625008821487427,0.010667,5,0,4,65,6,48,0,0,0,exhausted
