query_id,float_reference_ndcg,float_reference_precision,float_reference_recall
4641,0.3391602052736161,0.1,0.2
5503,0.0,0.0,0.0
7803,0.0,0.0,0.0
7017,0.0,0.0,0.0
10152,1.0,0.1,1.0
3451,0.13743816645714543,0.1,0.14285714285714285
4804,0.7903864795495061,0.2,1.0
7911,1.0,0.2,1.0
10809,0.46927872602275644,0.1,0.3333333333333333
6715,0.6934264036172708,0.2,1.0
2388,1.0,0.1,1.0
753,0.0,0.0,0.0
4465,0.0,0.0,0.0
7326,0.0,0.0,0.0
5951,0.40432209650495937,0.3,0.3333333333333333
5653,1.0,0.1,1.0
10827,0.0,0.0,0.0
9771,0.0,0.0,0.0
7105,0.43067655807339306,0.1,1.0
9332,0.31546487678572877,0.1,1.0
3724,0.2863459897524692,0.2,0.2
5853,0.21078558563971428,0.2,0.25
6832,0.20438239758848611,0.1,0.5
6807,1.0,0.1,1.0
570,0.0,0.0,0.0
7279,0.5413996682199069,0.2,0.5
594,0.6131471927654584,0.1,0.5
10122,0.3903800499921017,0.1,0.25
3091,0.9950883841893561,0.7,1.0
904,1.0,0.1,1.0
4037,0.0,0.0,0.0
8537,0.38685280723454163,0.1,1.0
3357,0.43067655807339306,0.1,1.0
1783,0.0,0.0,0.0
6004,0.0,0.0,0.0
2923,0.8248239677678634,0.4,0.8
5271,0.3235866969737877,0.2,0.6666666666666666
2108,0.0,0.0,0.0
7590,0.6240505200038379,0.2,1.0
932,0.20438239758848611,0.1,0.5
5981,0.8687949224876582,0.4,0.8
4837,0.0,0.0,0.0
4415,0.0,0.0,0.0
1915,0.5,0.2,1.0
8378,0.0,0.0,0.0
2316,1.0,0.2,1.0
8102,0.0,0.0,0.0
3405,0.2890648263178879,0.1,1.0
7928,0.123151194370365,0.1,0.25
603,0.3010299956639812,0.1,1.0
1281,0.0,0.0,0.0
3830,0.0,0.0,0.0
3837,0.6309297535714575,0.1,1.0
4447,0.31546487678572877,0.1,1.0
2376,0.9098999913476322,0.7,0.875
4777,0.0,0.0,0.0
5741,0.0,0.0,0.0
2318,0.43067655807339306,0.1,1.0
620,0.21398626473452756,0.1,0.2
8271,0.6131471927654584,0.1,0.5
4865,0.0,0.0,0.0
864,0.7751482523375256,0.4,0.6666666666666666
5888,0.0,0.0,0.0
2568,0.39325912586965384,0.2,0.2857142857142857
5150,0.0,0.0,0.0
7124,0.3903800499921017,0.1,0.25
2857,0.5855700749881525,0.2,0.5
8539,0.11284514134893527,0.1,0.25
6896,0.0,0.0,0.0
1085,0.0,0.0,0.0
5422,0.0,0.0,0.0
8247,0.0,0.0,0.0
4946,1.0,0.1,1.0
10482,0.0,0.0,0.0
4571,0.7653606369886217,0.2,0.6666666666666666
8789,0.7653606369886217,0.2,0.6666666666666666
8034,1.0,0.1,1.0
4600,1.0,0.1,1.0
2423,0.43707943365237834,0.3,0.42857142857142855
8475,0.9083745556952363,0.6,0.8571428571428571
4523,0.0,0.0,0.0
8513,0.0,0.0,0.0
1198,1.0,0.1,1.0
9291,0.0,0.0,0.0
8532,0.0,0.0,0.0
1824,0.38685280723454163,0.1,1.0
5054,0.0,0.0,0.0
1159,0.0,0.0,0.0
4920,1.0,0.3,1.0
68,0.0,0.0,0.0
7269,0.43067655807339306,0.1,1.0
750,0.8065735963827293,0.2,1.0
9701,0.0,0.0,0.0
6199,0.6366824387328317,0.2,0.5
9126,0.0,0.0,0.0
34,0.0,0.0,0.0
4011,0.9674679834891693,0.3,1.0
4700,1.0,0.1,1.0
6395,0.0,0.0,0.0
852,0.2960819109658652,0.1,0.3333333333333333
9115,0.23463936301137822,0.1,0.3333333333333333
1297,0.6309297535714575,0.1,1.0
5085,0.5,0.1,1.0
4767,0.0,0.0,0.0
2593,0.20210734650054757,0.1,0.3333333333333333
2724,0.21840743681816419,0.1,0.5
11088,1.0,0.1,1.0
18,0.38685280723454163,0.1,1.0
109,1.0,0.1,1.0
8351,0.0,0.0,0.0
6131,0.5231737964779628,0.4,0.3333333333333333
3480,1.0,0.4,1.0
7992,0.19342640361727081,0.1,0.5
858,0.0,0.0,0.0
4019,0.11305340175787204,0.1,0.2
6080,0.6131471927654584,0.1,0.5
2580,0.49818925746641285,0.2,0.6666666666666666
7513,0.0,0.0,0.0
6959,0.0,0.0,0.0
5402,0.23719771276929622,0.1,0.5
4504,1.0,0.2,1.0
6562,0.19519002499605084,0.1,0.25
4775,0.0,0.0,0.0
9565,1.0,0.2,1.0
10734,0.7316362001126298,0.4,0.6666666666666666
701,0.0,0.0,0.0
585,0.0,0.0,0.0
8934,0.0,0.0,0.0
11054,1.0,0.2,1.0
56,0.38685280723454163,0.1,1.0
6862,1.0,0.1,1.0
9598,0.0,0.0,0.0
4265,0.5449960234716783,0.3,0.5
90,0.3333333333333333,0.1,1.0
8592,0.20210734650054757,0.1,0.3333333333333333
10547,0.0,0.0,0.0
5231,0.0,0.0,0.0
7674,0.0,0.0,0.0
3103,1.0,0.1,1.0
10137,0.43067655807339306,0.1,1.0
1415,0.9828920819566879,0.4,1.0
5940,0.0,0.0,0.0
6612,0.2960819109658652,0.1,0.3333333333333333
945,0.0,0.0,0.0
2549,0.6131471927654584,0.1,0.5
4714,0.5855700749881525,0.2,0.5
588,0.6934264036172708,0.2,1.0
4233,0.9505310077117097,0.5,1.0
6441,0.31546487678572877,0.1,1.0
8456,0.23463936301137822,0.1,0.3333333333333333
10213,0.0,0.0,0.0
106,1.0,0.1,1.0
4306,0.24630238874073,0.1,0.25
5196,0.0,0.0,0.0
3006,0.1909208661789347,0.1,0.16666666666666666
7205,1.0,0.1,1.0
3909,0.13886244387355454,0.1,0.1
4116,0.9197207891481876,0.2,1.0
4942,0.0,0.0,0.0
6907,0.0,0.0,0.0
5464,0.0,0.0,0.0
2385,0.6131471927654584,0.1,0.5
691,0.0,0.0,0.0
3177,0.0,0.0,0.0
10034,0.38685280723454163,0.1,0.5
5090,0.18457569677956817,0.1,0.5
2088,0.0,0.0,0.0
9391,0.5543375550857161,0.3,0.75
529,0.0,0.0,0.0
2118,0.0,0.0,0.0
3148,0.5531464700081437,0.2,0.4
4955,0.0,0.0,0.0
8275,0.0,0.0,0.0
4678,0.0,0.0,0.0
2398,0.0,0.0,0.0
3569,0.0,0.0,0.0
8072,0.46927872602275644,0.1,0.3333333333333333
7734,0.6131471927654584,0.1,0.5
8947,0.38685280723454163,0.1,0.5
6746,0.6131471927654584,0.1,0.5
5511,0.0,0.0,0.0
6009,0.0,0.0,0.0
813,0.20438239758848611,0.1,0.5
8834,0.3026024134988135,0.1,0.16666666666666666
1157,0.6131471927654584,0.1,0.5
988,0.0,0.0,0.0
3369,0.0,0.0,0.0
9296,0.0,0.0,0.0
9643,0.5,0.1,1.0
9245,0.0,0.0,0.0
3490,0.0,0.0,0.0
5763,0.0,0.0,0.0
26,0.2640681225725909,0.1,0.5
4962,0.0,0.0,0.0
4846,0.18457569677956817,0.1,0.5
2460,1.0,0.3,1.0
9403,0.0,0.0,0.0
5646,0.9674679834891693,0.3,1.0
3503,0.6334982227809455,0.5,0.7142857142857143
2676,0.6309297535714575,0.1,1.0
929,1.0,0.1,1.0
5993,0.22009176629808017,0.1,0.06666666666666667
10845,1.0,0.1,1.0
8116,0.48247555939075504,0.2,1.0
9633,0.20438239758848611,0.1,0.5
5710,0.0,0.0,0.0
9824,1.0,0.1,1.0
7529,0.21840743681816419,0.1,0.5
475,1.0,0.1,1.0
5021,0.0,0.0,0.0
9548,0.0,0.0,0.0
7592,0.0,0.0,0.0
2968,0.8772153153380493,0.2,1.0
7758,0.0,0.0,0.0
3612,0.123151194370365,0.1,0.25
10596,0.9434732991210639,0.5,1.0
4153,0.0,0.0,0.0
4409,0.21222636597291458,0.2,0.2
5369,0.0,0.0,0.0
2070,0.1480409554829326,0.1,0.3333333333333333
5505,1.0,0.1,1.0
6611,0.6131471927654584,0.1,0.5
11039,0.24390331138078206,0.2,0.25
5460,0.0,0.0,0.0
7925,0.0,0.0,0.0
4286,0.6131471927654584,0.1,0.5
3789,0.75369761125927,0.3,0.75
5228,0.0,0.0,0.0
2685,0.2529427027676571,0.1,0.125
8702,0.7653606369886217,0.2,0.6666666666666666
1877,1.0,0.1,1.0
10645,0.39780880120575696,0.2,1.0
1090,0.0,0.0,0.0
7080,0.8772153153380493,0.2,1.0
6122,0.46927872602275644,0.1,0.3333333333333333
3682,0.2640681225725909,0.1,0.5
4514,0.48553456068968903,0.3,0.5
8507,0.0,0.0,0.0
6221,0.0,0.0,0.0
1819,0.1909208661789347,0.1,0.16666666666666666
6468,0.6131471927654584,0.1,0.5
3008,0.3903800499921017,0.1,0.25
9925,0.9197207891481876,0.2,1.0
4007,0.6364391809889587,0.2,0.6666666666666666
6644,0.0,0.0,0.0
6420,0.6131471927654584,0.1,0.5
6713,0.6131471927654584,0.1,0.5
4844,0.6131471927654584,0.1,0.5
7463,0.0,0.0,0.0
6479,1.0,0.2,1.0
10267,0.0,0.0,0.0
7622,0.0,0.0,0.0
10979,0.3903800499921017,0.1,0.25
2498,0.0,0.0,0.0
2010,0.9325210919548239,0.3,1.0
3767,0.0,0.0,0.0
7145,0.2836929289153804,0.2,0.6666666666666666
6554,0.20438239758848611,0.1,0.5
9556,0.38685280723454163,0.1,1.0
2445,1.0,0.1,1.0
6410,0.0,0.0,0.0
5155,0.5,0.1,1.0
5030,0.0,0.0,0.0
6252,0.0,0.0,0.0
885,0.0,0.0,0.0
7377,0.31546487678572877,0.1,1.0
4031,0.0,0.0,0.0
766,0.2960819109658652,0.1,0.3333333333333333
8779,0.0,0.0,0.0
2183,0.32124463208930537,0.2,0.3333333333333333
6219,0.9197207891481876,0.2,1.0
6849,0.0,0.0,0.0
8079,0.39106560501896365,0.2,0.6666666666666666
5086,1.0,0.1,1.0
8202,0.0,0.0,0.0
7345,0.20210734650054757,0.1,0.3333333333333333
2648,1.0,0.1,1.0
7441,0.6364391809889587,0.2,0.6666666666666666
776,0.40853591842579556,0.3,0.25
5125,0.0,0.0,0.0
89,0.10086747116627115,0.1,0.16666666666666666
9329,0.6131471927654584,0.1,0.5
2516,0.5205067333228022,0.2,0.5
6629,0.0,0.0,0.0
8970,0.6509209298071326,0.2,1.0
4484,0.6309297535714575,0.1,1.0
1451,1.0,0.1,1.0
1889,0.0,0.0,0.0
1920,0.0,0.0,0.0
8013,0.0,0.0,0.0
3759,0.0,0.0,0.0
7295,0.0,0.0,0.0
7448,0.6309297535714575,0.1,1.0
7329,0.6131471927654584,0.1,0.5
10639,0.0,0.0,0.0
6635,0.5855700749881525,0.2,0.5
4312,0.4911720512196216,0.3,0.42857142857142855
1230,0.0,0.0,0.0
2486,1.0,0.1,1.0
6121,0.2640681225725909,0.1,0.5
859,0.0,0.0,0.0
