method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00412,100,510,1,1000,1,True,True,0.07593,0.4754170004162006,0.6373444002747419,492.20691204391187,0.4754170004162006,0.4754170004162006,0.4754170004162006,10458620,76726272,182.865,0.0,0.0,0.0,18.598,18969.96,14.402,,,,,,32,100
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00433,1,7,1,1000,1,True,True,0.508,0.02504199801478535,0.027375001081964,25.284569986979477,0.02504199801478535,0.02504199801478535,0.02504199801478535,10969392,78872576,957.358,7.0,0.0,18.326,0.0,0.0,0.0,0,42,2048,8192,False,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00487,100,671,1,1000,1,True,True,0.95011,0.7236454985104501,0.7715544996244716,723.4090519777965,0.7236454985104501,0.7236454985104501,0.7236454985104501,10969392,78872576,86314.941,671.0,0.0,1675.574,0.0,0.0,0.0,0,42,2048,8192,False,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00461,1,1136,1,1000,1,True,True,0.995,1.6452915006084368,2.035356897067686,1633.895370963728,1.6452915006084368,1.6452915006084368,1.6452915006084368,10969392,78872576,18811.076,6234.766,13367.809,2693.475,0.0,0.0,0.0,0,42,32,8192,True,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00506,1,7,1,1000,1,True,True,0.466,0.02112500078510493,0.023711048925179053,21.370573005697224,0.02112500078510493,0.02112500078510493,0.02112500078510493,10458620,76693504,626.762,0.0,0.0,0.0,1.0,14.0,1.0,,,,,,1,1
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00530,1,344,1,1000,1,True,True,0.569,0.23647899979550857,0.29587675053335255,241.14721400474082,0.23647899979550857,0.23647899979550857,0.23647899979550857,10458620,76693504,2220.749,0.0,0.0,0.0,9.485,6525.68,7.515,,,,,,16,1000
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00548,1,1136,1,1000,1,True,True,0.536,0.5918335009482689,0.865312847599852,604.8516979790293,0.5918335009482689,0.5918335009482689,0.5918335009482689,10458620,76693504,3648.599,0.0,0.0,0.0,8.001,18178.272,8.999,,,,,,16,1000
prefix,1,,main-s00018,1,1,1,1000,1,True,True,0.161,0.003917000867659226,0.004625002475222573,3.9875009351817425,0.003917000867659226,0.003917000867659226,0.003917000867659226,10458620,71712768,3.05,0.0,0.0,0.0,9.119,18.238,23.881,,,,,,32,1
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00106,100,38,1,1000,1,True,True,0.99016,0.6756460006727139,1.5127663502425999,748.4627949888818,0.6756460006727139,0.6756460006727139,0.6756460006727139,10465840,77479936,6950.563,1756.046,177332.89,53946.093,0.0,0.0,0.0,0,42,32,8192,False,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00064,1,16,1,1000,1,True,True,0.953,0.0776879987824941,0.11709135014825732,82.40897694122395,0.0776879987824941,0.0776879987824941,0.0776879987824941,10465840,77479936,397.619,230.27,27659.541,2817.207,0.0,0.0,0.0,0,42,32,8192,False,,
