target,meets_target,method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
0.8,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00456,100,38,1,3000,3,True,True,0.80108,0.07412500053760596,0.08362500011571683,223.95131001394475,0.07391700091829989,0.07383350202871952,0.07458400068571791,8366896,78053376,5139.612,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00456,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,8923952,5139.612,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00456,,,,,,,,
0.8,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00488,100,38,1,3000,3,True,True,0.80108,0.07945800098241307,0.08920804903027602,239.75041297308053,0.07945800098241307,0.07897899922681972,0.07983300019986928,10965040,80658432,5139.612,38.0,0.0,98.674,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00488,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11522096,5139.612,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00456,0,42,2048,8192,False,,,
0.8,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00539,100,38,1,3000,3,True,True,0.80108,0.07445899973390624,0.08429200170212425,225.15057899363455,0.07422899943776429,0.07383299816865474,0.07529150025220588,10458620,77021184,5139.612,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d32-binary-main-s00539,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11015676,5139.612,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00456,,,,,,0,0,False
0.9,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00457,100,82,1,3000,3,True,True,0.90087,0.11808300041593611,0.1328329999523703,357.0550371441641,0.11843749962281436,0.11745899973902851,0.11850000009872019,8366896,77774848,11059.047,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00457,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,8923952,11059.047,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00457,,,,,,,,
0.9,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00491,100,82,1,3000,3,True,True,0.90087,0.12654149941226933,0.1411249979355489,382.36548099303036,0.12649999916902743,0.12643800073419698,0.1268124979105778,10965040,80478208,11059.047,82.0,0.0,212.417,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00491,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11522096,11059.047,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00457,0,42,2048,8192,False,,,
0.9,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00543,100,82,1,3000,3,True,True,0.90087,0.11912499758182094,0.1324579970969353,359.7017400425102,0.11931250082852785,0.11745799929485656,0.12014549974992406,10458620,77283328,11059.047,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d32-binary-main-s00543,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11015676,11059.047,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00457,,,,,,0,0,False
0.95,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00458,100,147,1,3000,3,True,True,0.95032,0.18900000031862874,0.21079405087220948,571.9283911093953,0.1884795019577723,0.18708400057221297,0.1916250002977904,8366896,78135296,19772.328,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00458,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,8923952,19772.328,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00458,,,,,,,,
0.95,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00494,100,147,1,3000,3,True,True,0.95032,0.20637499983422458,0.22641699979430996,621.6219031775836,0.206666998565197,0.20479150043684058,0.20724999922094867,10965040,80658432,19772.328,147.0,0.0,379.936,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00494,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11522096,19772.328,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00458,0,42,2048,8192,False,,,
0.95,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00547,100,147,1,3000,3,True,True,0.95032,0.18995799837284721,0.20904520151816539,572.4884540613857,0.19035449986404274,0.18914549946202897,0.1903749998746207,10458620,77103104,19772.328,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d32-binary-main-s00547,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11015676,19772.328,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00458,,,,,,0,0,False
0.99,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00459,100,380,1,3000,3,True,True,0.99,0.4001454981334973,0.4336690490163164,1203.8920270642848,0.401166498704697,0.3950829996028915,0.40387449917034246,8366896,78135296,50864.535,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00459,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,8923952,50864.535,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00459,,,,,,,,
0.99,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00497,100,380,1,3000,3,True,True,0.99,0.4390624999359716,0.47375209869642276,1321.1775129602756,0.43906300015805755,0.43887500032724347,0.43956250010523945,10965040,80510976,50864.535,380.0,0.0,978.234,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00497,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11522096,50864.535,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00459,0,42,2048,8192,False,,,
