query,top_k,query_l1,kth_score,gap,optimistic_min_depth
38,10,12.323615483910544,9.229174172069179,3.094441311841365,9
39,10,12.364162286882674,9.527710686909813,2.836451599972861,9
40,10,12.294606571813347,7.543865926301805,4.7507406455115415,16
41,10,11.98382810568728,8.78413893475954,3.1996891709277406,10
42,10,12.671480115892336,9.231915257714718,3.4395648581776186,12
43,10,12.124892470958002,10.31587663602113,1.8090158349368721,5
44,10,11.74301735334302,7.614082158463134,4.128935194879887,13
45,10,12.331079854760901,7.9377713140129345,4.393308540747967,15
46,10,12.199955880118068,8.124517851800192,4.075438028317876,14
47,10,12.1737502104952,6.561151123663876,5.612599086831324,19
48,10,12.669430032517994,6.9766953690268565,5.692734663491137,21
49,10,12.425159938051365,7.277725366177037,5.147434571874328,18
50,10,12.393132012628485,8.741096405487042,3.6520356071414426,11
51,10,11.64382210173062,6.625925444735913,5.017896656994708,16
52,10,11.985122321726521,8.284372977359453,3.7007493443670683,11
53,10,12.051523906306102,8.585759448400495,3.465764457905607,11
54,10,12.367463058282738,8.835320030528237,3.5321430277545005,11
55,10,12.334506241197232,7.352659537515137,4.981846703682095,17
56,10,12.068809414253337,6.92738205337082,5.141427360882517,17
57,10,12.327956297380297,9.953350675703405,2.374605621676892,7
58,10,12.183646453951951,8.3571963175782,3.826450136373751,11
59,10,11.928950465924572,8.543116204964463,3.3858342609601095,9
60,10,12.04128195913654,8.340866915859806,3.7004150432767347,11
61,10,12.434757318347692,9.019837488885969,3.4149198294617236,11
62,10,11.996067611893523,7.8852817927108845,4.110785819182638,13
63,10,12.273644209722988,9.24963762727566,3.0240065824473277,10
32,100,11.934304119786248,7.305975495139137,4.628328624647111,15
33,100,12.07058592652902,7.783702293061651,4.286883633467369,14
34,100,12.193391148350202,6.43083535914775,5.762555789202452,20
35,100,12.49391749035567,6.508405836764723,5.985511653590947,21
36,100,11.76190948895237,6.037548922133283,5.724360566819087,19
37,100,12.070044910651632,7.393824829603545,4.676220081048086,16
38,100,12.323615483910544,7.922299342259066,4.401316141651478,14
39,100,12.364162286882674,8.204391830186978,4.159770456695696,14
40,100,12.294606571813347,6.685509069386171,5.609097502427176,20
41,100,11.98382810568728,6.460672786764917,5.523155318922363,19
42,100,12.671480115892336,8.088410103770002,4.5830700121223344,16
43,100,12.124892470958002,8.914273644164496,3.2106188267935067,10
44,100,11.74301735334302,6.925047887598339,4.817969465744682,15
45,100,12.331079854760901,6.903671421940089,5.427408432820812,19
46,100,12.199955880118068,6.828264042036608,5.3716918380814604,19
47,100,12.1737502104952,5.9090165388188325,6.2647336716763675,22
48,100,12.669430032517994,5.762185700179543,6.9072443323384505,27
49,100,12.425159938051365,6.120234537986107,6.304925400065258,24
50,100,12.393132012628485,7.204076467256527,5.189055545371957,17
51,100,11.64382210173062,5.49851530030719,6.14530680142343,20
52,100,11.985122321726521,7.6324827051430475,4.352639616583474,14
53,100,12.051523906306102,7.223250523336901,4.828273382969201,16
54,100,12.367463058282738,7.102743870389531,5.264719187893206,18
55,100,12.334506241197232,6.47523626225302,5.859269978944212,20
56,100,12.068809414253337,6.0107815746741835,6.058027839579154,21
57,100,12.327956297380297,8.223242960109928,4.104713337270368,13
