method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,leaf_size,node_budget,prefer_deeper_ties,exploration,seed,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01622,10,243,1,1000,1,True,True,0.99,0.16279199917335063,0.1787961540685501,163.38024477590807,0.16279199917335063,0.16279199917335063,0.16279199917335063,8366896,77873152,32612.65,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01623,10,365,1,1000,1,True,True,0.9956,0.231479003559798,0.2540523957577534,232.6015596918296,0.231479003559798,0.231479003559798,0.231479003559798,8366896,77873152,48877.543,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01621,10,68,1,1000,1,True,True,0.9346,0.05395800690166652,0.06055030607967637,54.390854071243666,0.05395800690166652,0.05395800690166652,0.05395800690166652,8366896,77873152,9178.182,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01730,15,272,1,1000,1,True,True,0.99,0.18264550453750417,0.20200204598950222,183.42819607642014,0.18264550453750417,0.18264550453750417,0.18264550453750417,8366896,77971456,36486.821,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01731,15,408,1,1000,1,True,True,0.9957333333333334,0.2622909960336983,0.33695624006213615,274.5874858519528,0.2622909960336983,0.2622909960336983,0.2622909960336983,8366896,77971456,54578.664,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01728,15,50,1,1000,1,True,True,0.9013333333333333,0.0441250012954697,0.049124995712190866,44.42791925976053,0.0441250012954697,0.0441250012954697,0.0441250012954697,8366896,77971456,6752.21,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01729,15,75,1,1000,1,True,True,0.9365333333333333,0.05977050750516355,0.06629520212300122,60.14293011685368,0.05977050750516355,0.05977050750516355,0.05977050750516355,8366896,77971456,10123.537,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01837,20,80,1,1000,1,True,True,0.9373,0.0637500052107498,0.07279519413714297,64.59482717036735,0.0637500052107498,0.0637500052107498,0.0637500052107498,8366896,77971456,10790.174,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01836,20,53,1,1000,1,True,True,0.90055,0.04600000102072954,0.05217115103732794,46.416348952334374,0.04600000102072954,0.04600000102072954,0.04600000102072954,8366896,77971456,7154.509,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01839,20,420,1,1000,1,True,True,0.99595,0.2641039973241277,0.28738750479533337,264.7725359565811,0.2641039973241277,0.2641039973241277,0.2641039973241277,8366896,77971456,56175.011,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01838,20,280,1,1000,1,True,True,0.99005,0.18418749823467806,0.20234343755873851,184.94460319925565,0.18418749823467806,0.18418749823467806,0.18418749823467806,8366896,77971456,37553.53,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01944,30,58,1,1000,1,True,True,0.9012666666666667,0.051458002417348325,0.05796425830340012,51.921535035944544,0.051458002417348325,0.051458002417348325,0.051458002417348325,8366896,78036992,7829.971,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01947,30,438,1,1000,1,True,True,0.9960666666666667,0.27866600430570543,0.30771010351600125,280.8537839737255,0.27866600430570543,0.27866600430570543,0.27866600430570543,8366896,78036992,58571.872,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01946,30,292,1,1000,1,True,True,0.99,0.1943120005307719,0.21533509861910716,195.2610681182705,0.1943120005307719,0.1943120005307719,0.1943120005307719,8366896,78036992,39158.445,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
