method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,leaf_size,node_budget,exploration,seed
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00544,100,3,1,1000,1,True,True,0.55271,0.11664550015666464,0.13058299966814957,117.36776199768428,0.11664550015666464,0.11664550015666464,0.11664550015666464,23008964,111493120,442.421,0.0,0.0,0.0,17.0,96.0,0.0,16,0,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00539,10,4096,1,1000,1,True,True,1.0,25.91193750004095,26.609166649882354,25926.7646169842,25.91193750004095,25.91193750004095,25.91193750004095,23008964,111493120,522931.0,0.0,0.0,0.0,17.0,131072.0,0.0,16,0,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00487,1,2,1,1000,1,True,True,0.861,0.09368750033900142,0.1026291501830201,94.42549900040831,0.09368750033900142,0.09368750033900142,0.09368750033900142,23008964,111493120,300.875,0.0,0.0,0.0,17.0,64.0,0.0,16,100000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00491,1,3,1,1000,1,True,True,0.915,0.10041700033980305,0.1106292001395559,100.97102100462507,0.10041700033980305,0.10041700033980305,0.10041700033980305,23008964,111493120,442.421,0.0,0.0,0.0,17.0,96.0,0.0,16,10000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00560,100,668,1,1000,1,True,True,0.13754,0.5875414999536588,0.90198540019628,642.8002070042567,0.5875414999536588,0.5875414999536588,0.5875414999536588,23008964,111493120,2784.221,0.0,0.0,0.0,8.934,11935.824,8.066,16,1000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00505,1,4096,1,1000,1,True,True,0.257,2.1017500000652944,3.1701868500249475,2263.430712000172,2.1017500000652944,2.1017500000652944,2.1017500000652944,23008964,111493120,4954.733,0.0,0.0,0.0,7.134,58441.728,9.866,16,1000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00503,1,43,1,1000,1,True,True,0.99,0.3579165002065565,0.41051664982205693,359.4805719976648,0.3579165002065565,0.3579165002065565,0.3579165002065565,23008964,111493120,5802.553,0.0,0.0,0.0,17.0,1376.0,0.0,16,261465,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00535,10,4096,1,1000,1,True,True,0.1536,2.168583500179011,3.3453770999585677,2351.481300008345,2.168583500179011,2.168583500179011,2.168583500179011,23008964,111493120,4954.733,0.0,0.0,0.0,7.134,58441.728,9.866,16,1000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00558,100,160,1,1000,1,True,True,0.95015,1.1523959999522049,1.2822170002209532,1154.5041989998026,1.1523959999522049,1.1523959999522049,1.1523959999522049,23008964,111493120,21100.935,0.0,0.0,0.0,17.0,5120.0,0.0,16,261465,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00520,10,17,1,1000,1,True,True,0.7455,0.15627049970134976,0.19483400001263362,160.57216799117668,0.15627049970134976,0.15627049970134976,0.15627049970134976,23008964,111493120,1501.785,0.0,0.0,0.0,14.882,500.106,2.118,16,1000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00494,1,3,1,1000,1,True,True,0.915,0.0994170000012673,0.10988329991050703,100.14142700083539,0.0994170000012673,0.0994170000012673,0.0994170000012673,23008964,111493120,442.421,0.0,0.0,0.0,17.0,96.0,0.0,16,0,,,,
