case_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,key_offset,candidate_target,key_limit,recall,routing_recall,p50_ms,p95_ms,mean_routing_ms,mean_scored,logical_bytes,routing_bytes,rss_before_queries,lifetime_peak_bytes,budget_status,power_unchanged,predicted_p50_ms,prediction_error_percent
437,100000,branch,ivf,16,1,0,512,0,0,0,0,0.5084,0.5084,0.2521248534321785,0.3419501706957816,0.003684964030981064,6513.72,7219456,16512,57950208,61784064,fits_by_lifetime_peak,True,0.24968186992818442,-0.9689578281306677
438,100000,branch,none,1,1,512,32,0,0,0,0,0.5708,1.0,0.7366659119725227,0.870516151189804,0.0006499327719211578,1585.16,7201024,0,62685184,65011712,fits_by_lifetime_peak,True,0.804066148680599,9.149362772549496
439,100000,branch,ivf,64,1,2048,128,0,0,0,0,0.3968,0.3968,0.0855419784784317,0.11246688663959503,0.004086755216121674,1737.64,7262464,66048,60588032,64438272,fits_by_lifetime_peak,True,0.07644463090188357,-10.634951094615975
440,100000,branch,sign,64,16,2048,32,0,0,0,0,0.7496,0.9356,0.8013746701180935,1.036158762872219,0.005971696227788925,7983.88,7235840,1024,57360384,59801600,fits_by_lifetime_peak,True,0.6779692327155463,-15.399218618222822
441,100000,keys,ivf,64,1,0,0,12,0,10000,32768,0.3968,0.3968,0.2421671524643898,0.2675415016710758,0.003980044275522232,1737.64,4477340,66048,55066624,58884096,fits_by_lifetime_peak,True,0.24138248593519343,-0.3240185637115922
442,100000,keys,ivf,64,64,0,0,12,0,10000,32768,0.496,1.0,0.4359576851129532,0.6427582353353498,0.006643347442150116,10199.76,4477340,66048,55279616,59129856,fits_by_lifetime_peak,True,0.4664219893296962,6.987903931284056
443,100000,keys,ivf,64,16,0,0,12,0,1000,32768,0.2232,0.8988,0.0743749551475048,0.11182539165019983,0.0044717080891132355,1188.2,4477340,66048,55263232,59097088,fits_by_lifetime_peak,True,0.06634212665423825,-10.800448184923784
444,100000,keys,sign,64,1,0,0,12,6,10000,32768,0.2144,0.2288,0.3126249648630619,0.38022501394152636,0.003576725721359253,5280.88,4371860,1024,53493760,57327616,fits_by_lifetime_peak,True,0.30077705901268176,-3.7898143724925615
445,100000,keys,ivf,16,16,0,0,12,0,1000,32768,0.1236,1.0,0.06400002166628838,0.09177485480904579,0.004123318940401077,1316.04,4243740,16512,53723136,57556992,fits_by_lifetime_peak,True,0.06402644207138347,0.04128186898568753
446,100000,keys,sign,16,4,0,0,16,4,0,32768,0.8224,0.926,1.8282081000506878,2.496808674186468,0.005719978362321854,31165.36,4655760,192,54444032,58097664,fits_by_lifetime_peak,True,2.2029669863193893,20.498699587771817
447,100000,keys,ivf,64,64,0,0,8,0,10000,32768,0.4172,1.0,0.3593340516090393,0.4308244213461876,0.005500093102455139,12273.36,4099720,66048,54018048,57851904,fits_by_lifetime_peak,True,0.36308268994068055,1.0432182296265635
