setting_id,method,router,clusters,probes,leaf_size,node_budget,key_bits,recall,p50_ms,process_p50_min_ms,process_p50_max_ms,mean_scored,mean_split_words,mean_leaf_words,mean_key_lookups,logical_index_bytes,lifetime_peak_bytes,complete_processes,qualified
setting-014,keys,ivf,256,12,0,0,4,0.8055,1.3919796328991652,1.3919796328991652,1.3919796328991652,50005.31,0.0,0.0,192.0,40038700,140492800,1,True
setting-123,branch,ivf,8192,8192,512,0,0,1.0,28.819812461733818,28.819812461733818,28.819812461733818,1000000.0,0.0,19683.0,0.0,80310784,223084544,1,True
setting-075,branch,ivf,4096,1330,512,0,0,0.99,9.139854460954666,9.139854460954666,9.139854460954666,325353.42,235.835,5866.79,0.0,76110336,220643328,1,True
setting-045,keys,ivf,256,256,0,0,1,1.0,26.836020406335592,26.836020406335592,26.836020406335592,1000000.0,0.0,0.0,512.0,40010240,140509184,1,True
setting-007,keys,none,1,1,0,0,8,1.0,26.525020599365234,26.525020599365234,26.525020599365234,1000000.0,0.0,0.0,256.0,40002560,136626176,1,True
setting-063,keys,ivf,4096,211,0,0,8,0.9,2.4918965063989162,2.4918965063989162,2.4918965063989162,52163.9,0.0,0.0,54016.0,42797700,160776192,1,True
setting-005,keys,none,1,1,0,0,1,1.0,26.501042069867253,26.501042069867253,26.501042069867253,1000000.0,0.0,0.0,2.0,40000040,136773632,1,True
setting-091,branch,ivf,8192,127,512,0,0,0.8004,0.5995004903525114,0.5995004903525114,0.5995004903525114,15614.785,0.0,306.605,0.0,80310784,231473152,1,True
setting-044,branch,ivf,256,256,1000000,0,0,1.0,26.929915882647038,26.929915882647038,26.929915882647038,1000000.0,0.0,15758.0,0.0,72272384,192331776,1,True
setting-103,keys,ivf,8192,353,0,0,8,0.9002,2.760250587016344,2.760250587016344,2.760250587016344,42847.11,0.0,0.0,90368.0,44062680,172687360,1,True
setting-021,keys,ivf,256,29,0,0,1,0.90195,3.259874414652586,3.259874414652586,3.259874414652586,118453.375,0.0,0.0,58.0,40010240,140787712,1,True
setting-110,keys,ivf,8192,778,0,0,4,0.95,3.453583689406514,3.453583689406514,3.453583689406514,93930.33,0.0,0.0,12448.0,40812440,162840576,1,True
setting-106,branch,ivf,8192,778,128,1024,0,0.3831,1.606999896466732,1.606999896466732,1.606999896466732,42365.785,1784.065,854.21,0.0,80310784,231522304,1,True
setting-042,branch,ivf,256,256,128,1024,0,0.0,0.27406285516917706,0.27406285516917706,0.27406285516917706,83.845,62985.71,55.77,0.0,72272384,192512000,1,True
setting-050,branch,ivf,4096,72,128,1024,0,0.71665,0.6568124517798424,0.6568124517798424,0.6568124517798424,13202.135,3386.565,1429.235,0.0,76110336,208404480,1,True
setting-057,branch,ivf,4096,211,128,256,0,0.033,0.19793817773461342,0.19793817773461342,0.19793817773461342,1322.3,1098.76,24.575,0.0,76110336,220561408,1,True
setting-104,scan,ivf,8192,778,0,0,0,0.95,2.8042292688041925,2.8042292688041925,2.8042292688041925,93930.33,0.0,0.0,0.0,40000000,190529536,1,True
setting-032,scan,ivf,256,119,0,0,0,0.9903,12.170749949291348,12.170749949291348,12.170749949291348,480127.3,0.0,0.0,0.0,40000000,158810112,1,True
setting-087,keys,ivf,4096,4096,0,0,8,1.0,68.16966645419598,68.16966645419598,68.16966645419598,1000000.0,0.0,0.0,1048576.0,42797700,160808960,1,True
