method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00169,50,23,1,1000,1,True,True,0.90104,0.3596245005610399,0.4183419587207026,361.50329193333164,0.3596245005610399,0.3596245005610399,0.3596245005610399,38702072,137412608,12012.766,23.0,0.0,199.226,0.0,0.0,0.0,0,42,522931,0,False,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00149,5,98,1,1000,1,True,True,0.9902,1.8442080036038533,2.1078253077575932,1853.358385124011,1.8442080036038533,1.8442080036038533,1.8442080036038533,38702072,137412608,50463.33,1944.166,9162.241,9500.344,0.0,0.0,0.0,0,42,128,8192,True,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00146,5,25,1,1000,1,True,True,0.9506,0.47129149606917053,0.5591666435066145,471.2749169993913,0.47129149606917053,0.47129149606917053,0.47129149606917053,38702072,137412608,13039.779,550.39,2652.294,2691.929,0.0,0.0,0.0,0,42,128,8192,True,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00186,1,38,1,1000,1,True,True,0.99,0.5847290012752637,0.6580124907486606,584.3588701391127,0.5847290012752637,0.5847290012752637,0.5847290012752637,23008964,105005056,19689.217,0.0,0.0,0.0,5.0,304.0,0.0,,,,,,4,0,True
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00215,50,23,1,1000,1,True,True,0.90104,0.3476250058156438,0.40827084449119866,349.78236199822277,0.3476250058156438,0.3476250058156438,0.3476250058156438,23008964,105005056,12012.766,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,0,0,True
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00213,50,8,1,1000,1,True,True,0.80506,0.14643799659097567,0.18252084337291305,148.2292057335144,0.14643799659097567,0.14643799659097567,0.14643799659097567,23008964,105005056,4294.546,0.0,0.0,0.0,5.0,64.0,0.0,,,,,,4,0,True
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00046,10,9,1,1000,1,True,True,0.9522,4.0488125014235266,5.189935097587295,4110.89904216351,4.0488125014235266,4.0488125014235266,4.0488125014235266,37716984,120881152,75608.303,2509.947,180661.989,178419.107,0.0,0.0,0.0,0,42,128,8192,True,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00021,1,4,1,1000,1,True,True,0.912,0.8434375049546361,1.1937645438592879,872.0900440675905,0.8434375049546361,0.8434375049546361,0.8434375049546361,37716984,120881152,34323.611,4.0,0.0,538.31,0.0,0.0,0.0,0,42,522931,0,False,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00020,1,4,1,1000,1,True,True,0.912,0.9104374985327013,1.3302806568390224,945.561222062679,0.9104374985327013,0.9104374985327013,0.9104374985327013,37716984,120881152,33936.797,73.614,5183.556,5637.377,0.0,0.0,0.0,0,42,2048,8192,False,,,
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00076,5,3,1,1000,1,True,True,0.8466,0.6288959993980825,0.8963705033238512,650.0638797879219,0.6288959993980825,0.6288959993980825,0.6288959993980825,23008964,100876288,25918.242,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,0,0,True
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00093,10,6,1,1000,1,True,True,0.6354,0.42462500277906656,0.8827663514239248,498.98990883957595,0.42462500277906656,0.42462500277906656,0.42462500277906656,23008964,100876288,18434.419,0.0,0.0,0.0,13.759,165.108,3.241,,,,,,16,10000,True
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00099,10,24,1,1000,1,True,True,0.3968,0.39506300527136773,1.2058874992362687,524.9819919699803,0.39506300527136773,0.39506300527136773,0.39506300527136773,23008964,100876288,19004.466,0.0,0.0,0.0,11.812,566.976,5.188,,,,,,16,10000,True
