method,top_k,target,round_1_ms,round_2_ms,recall
scan,30,0.95,0.09212500299327075,0.08754200825933367,0.9503333333333334
branch,30,0.95,0.10293750528944656,0.09712499740999192,0.9503333333333334
prefix,30,0.95,0.09129199315793812,0.08689600508660078,0.9503333333333334
scan,30,0.99,0.21100050071254373,0.2027294976869598,0.99
branch,30,0.99,0.15902100130915642,0.15008349873824045,0.9939666666666667
prefix,30,0.99,0.2135004979209043,0.20168750052107498,0.99
scan,50,0.8,0.04029099363833666,0.03795800148509443,0.80312
branch,50,0.8,0.042583000322338194,0.04149999585933983,0.80312
prefix,50,0.8,0.038749989471398294,0.03791699418798089,0.80312
scan,50,0.9,0.06654200842604041,0.06120800389908254,0.90092
branch,50,0.9,0.0701669996487908,0.06714549817843363,0.90092
prefix,50,0.9,0.06433299859054387,0.06087500514695421,0.90092
scan,50,0.95,0.1101454981835559,0.09997899906011298,0.95036
branch,50,0.95,0.11743700451916084,0.11183349852217361,0.95036
prefix,50,0.95,0.1066249969881028,0.10012499114964157,0.95036
scan,50,0.99,0.24516700068488717,0.22154150065034628,0.99004
branch,50,0.99,0.21720799850299954,0.20824999955948442,0.99326
prefix,50,0.99,0.23356299789156765,0.22000000171829015,0.99004
scan,75,0.8,0.04658300167648122,0.043479492887854576,0.8022666666666667
branch,75,0.8,0.049416994443163276,0.04652050120057538,0.8022666666666667
prefix,75,0.8,0.04468749830266461,0.04354099655756727,0.8022666666666667
scan,75,0.9,0.07587499567307532,0.06975000724196434,0.9016533333333333
branch,75,0.9,0.08077100210357457,0.07710399950155988,0.9016533333333333
prefix,75,0.9,0.07306249608518556,0.0694585032761097,0.9016533333333333
scan,75,0.95,0.12354199134279042,0.11304199870210141,0.9501066666666667
branch,75,0.95,0.13472900172928348,0.12447899644030258,0.9501066666666667
prefix,75,0.95,0.11783299851231277,0.1114999977289699,0.9501066666666667
scan,75,0.99,0.26508300652494654,0.24445800227113068,0.99004
branch,75,0.99,0.2763960001175292,0.2567710034782067,0.9927066666666666
prefix,75,0.99,0.25995798932854086,0.23983300343388692,0.99004
scan,100,0.8,0.05312499706633389,0.04924999666400254,0.80108
branch,100,0.8,0.054583491873927414,0.05254099960438907,0.80108
prefix,100,0.8,0.05124999734107405,0.047333494876511395,0.80108
scan,100,0.9,0.08629199874121696,0.07795800047460943,0.90087
branch,100,0.9,0.09000000136438757,0.08395800250582397,0.90087
prefix,100,0.9,0.0821249996079132,0.07577049836982042,0.90087
scan,100,0.95,0.1369579986203462,0.1237505057360977,0.95032
branch,100,0.95,0.14520799595629796,0.1360414971713908,0.95032
prefix,100,0.95,0.1309375002165325,0.12095800047973171,0.95032
scan,100,0.99,0.28649999876506627,0.2651250033522956,0.99
branch,100,0.99,0.3097294975304976,0.2857080035028048,0.99213
prefix,100,0.99,0.2761250070761889,0.2587919952929951,0.99
