method,clusters,router,setting_id,top_k,probes,repetitions,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00333,50,508,1,,,,,,3000,3,True,True,0.99004,1.835354501963593,1.996758347377181,5526.5362419740995,1.839728996856138,1.828958498663269,1.8405000009806827,23008964,111509504,65737.027,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00303,5,12,1,,,,,,3000,3,True,True,0.9028,0.10124999971594661,0.11933299610973336,305.7212274434278,0.10077099432237446,0.09916650014929473,0.10329200449632481,23008964,111493120,1684.424,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00318,10,50,1,,,,,,3000,3,True,True,0.9503,0.23824999516364187,0.2746270962234121,719.0423909196397,0.23816650355001912,0.23606299509992823,0.24097950517898425,23008964,111493120,6687.815,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00237,50,39,1,,,,,,3000,3,True,True,0.90116,0.20566650346154347,0.23633929886273106,619.0202880388824,0.20437499188119546,0.20256300194887444,0.20912501349812374,20917240,122519552,5250.028,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00232,10,6,1,,,,,,3000,3,True,True,0.8167,0.07654100772924721,0.08804199751466513,231.83674673782662,0.076833508501295,0.07558300421806052,0.07700000423938036,20917240,122519552,865.922,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00229,5,12,1,,,,,,3000,3,True,True,0.9028,0.09814550139708444,0.11475205028546041,297.2109000693308,0.09737499931361526,0.0972915004240349,0.09977050649467856,20917240,122519552,1684.424,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00256,5,12,1,0,42,2048,8192,False,3000,3,True,True,0.9028,0.10597949585644528,0.12341810070211066,320.7566763594514,0.10604150156723335,0.10562499664956704,0.1062085066223517,41855992,143458304,1684.424,12.0,0.0,32.353,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00274,10,297,1,0,42,2048,8192,False,3000,3,True,True,0.99,1.1651040040305816,1.293308656750014,3505.18745307636,1.1631665038294159,1.1570829956326634,1.1742909991880879,41855992,143638528,38613.843,297.0,0.0,750.242,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00266,10,6,1,0,42,522931,0,False,3000,3,True,True,0.8167,0.0835625032777898,0.09687709534773602,253.3054624509532,0.08283349598059431,0.08239550516009331,0.08558300032746047,41855992,143638528,865.922,6.0,0.0,16.532,0.0,0.0,0.0,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00176,1,3,1,,,,,,3000,3,True,True,0.852,0.06008350464981049,0.0817931031633634,186.02147095953114,0.060832993767689914,0.0585630041314289,0.06152050627861172,23008964,105644032,1669.681,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00271,10,50,1,0,42,2048,8192,False,3000,3,True,True,0.9503,0.25383349566254765,0.2938329998869449,764.9771712167421,0.25416699645575136,0.2473124986863695,0.25989600544562563,41855992,143425536,6687.815,50.0,0.0,129.377,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00287,50,508,1,0,42,522931,0,False,3000,3,True,True,0.99004,1.9290624986751936,2.1044291519501708,5833.089713123627,1.9387499924050644,1.9035000004805624,1.9433534980635159,41855992,143720448,65737.027,508.0,0.0,1278.75,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00254,5,4,1,0,42,522931,0,False,3000,3,True,True,0.8174,0.07466600072802976,0.08621104498161002,227.13941437541507,0.0746669975342229,0.07437499880325049,0.07491599535569549,41855992,143572992,590.293,4.0,0.0,11.236,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00245,1,4,1,0,42,522931,0,False,3000,3,True,True,0.908,0.07295799878193066,0.08391905939788556,221.4921613340266,0.07318749703699723,0.07254099182318896,0.07325000478886068,41855992,143572992,590.293,4.0,0.0,11.236,0.0,0.0,0.0,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00112,1,3,1,,,,,,3000,3,True,True,0.852,0.05895800131838769,0.0798749977548141,182.27572130854242,0.05862499529030174,0.05749999399995431,0.060709004173986614,20917240,118603776,1669.681,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00269,10,18,1,0,42,522931,0,False,3000,3,True,True,0.9001,0.13062500511296093,0.15196105014183559,394.5877129735891,0.1301454976783134,0.1283544988837093,0.1332500032731332,41855992,143458304,2492.271,18.0,0.0,47.97,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00283,50,104,1,0,42,2048,8192,False,3000,3,True,True,0.95016,0.46225000551203266,0.5231669936620165,1394.6471168019343,0.4643749998649582,0.4578539956128225,0.4653959986171685,41855992,143458304,13722.796,104.0,0.0,266.029,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00226,1,9,1,,,,,,3000,3,True,True,0.956,0.08762499783188105,0.10208304520347156,265.3052137757186,0.08789599814917892,0.08616650302428752,0.08864550181897357,20917240,122372096,1275.585,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00230,5,31,1,,,,,,3000,3,True,True,0.9506,0.16779150610091165,0.19629200687631965,507.4825905030593,0.1679170090937987,0.16697949467925355,0.1681869980529882,20917240,122372096,4200.206,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00238,50,104,1,,,,,,3000,3,True,True,0.95016,0.44508300197776407,0.500541995279491,1338.0397344299126,0.44387500383891165,0.4425830047694035,0.4494165041251108,20917240,122372096,13722.796,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00235,10,297,1,,,,,,3000,3,True,True,0.99,1.1298125027678907,1.2502961501013488,3398.1883842207026,1.1378119961591437,1.110062497900799,1.1412710009608418,20917240,122470400,38613.843,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00228,5,4,1,,,,,,3000,3,True,True,0.8174,0.06833299994468689,0.07967115598148664,207.70801622711588,0.06864550232421607,0.06762499106116593,0.06883349851705134,20917240,122470400,590.293,0.0,0.0,0.0,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00321,10,297,1,,,,,,3000,3,True,True,0.99,1.1291665068711154,1.252256253064843,3395.598570132279,1.1189375072717667,1.1012085087713785,1.168146001873538,23008964,111460352,38613.843,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00327,50,39,1,,,,,,3000,3,True,True,0.90116,0.207582997973077,0.241713150171563,626.5137642913032,0.20974999642930925,0.20239550212863833,0.21008349722251296,23008964,111607808,5250.028,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00291,1,4,1,,,,,,3000,3,True,True,0.908,0.06745800783392042,0.07720804496784694,204.4823174655903,0.06733300688210875,0.06695800402667373,0.06799999391660094,23008964,111607808,590.293,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00315,10,18,1,,,,,,3000,3,True,True,0.9001,0.12287500430829823,0.14321425260277462,370.87847421935294,0.12297899229452014,0.12158350000390783,0.1238959957845509,23008964,111607808,2492.271,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
