source,case,operation,size,dimensions,step,count,p50_ms,min_ms,max_ms,live_payload_bytes
results/buffer-costs-2026-09-11,29,split,15625000,0,13,121989,5.138,5.024959,6.048459,3500000000
results/buffer-costs-2026-09-11,29,leaf,15625000,0,13,121989,4.799625,4.590458,4.834834,3375000000
results/buffer-costs-2026-09-11,29,release,15625000,0,13,0,0.007583,0.007209,0.010417,1625000000
results/buffer-costs-2026-09-11,30,score,8192,256,0,8192,0.237875,0.236959,0.245583,328704
results/buffer-costs-2026-09-11,31,score,65536,128,0,65536,0.757208,0.753708,0.816083,1573376
results/buffer-costs-2026-09-11,32,score,1000000,512,0,1000000,54.290792,53.77575,55.616292,72002048
results/buffer-costs-2026-09-11,33,score,128,768,0,128,0.0205,0.019916,0.023042,16384
results/buffer-gather-2026-09-11,0,gather,1000000,256,13,141,0.015209,0.014375,0.019541,40126024
results/buffer-gather-2026-09-11,1,gather,1000000,256,10,964,0.049834,0.047958,0.060041,40126024
results/buffer-gather-2026-09-11,2,gather,4000000,256,10,4022,0.17775,0.173625,0.183584,160501024
results/buffer-gather-2026-09-11,3,gather,16000000,256,10,15778,0.6935,0.677583,0.704167,642001024
results/buffer-gather-2026-09-11,4,gather,4000000,256,13,531,0.053375,0.047333,0.062375,160501024
results/buffer-gather-2026-09-11,5,root,15625,0,0,0,0.001417,0.001208,0.001583,1125000
results/buffer-gather-2026-09-11,5,split,15625,0,1,499670,0.0055,0.005416,0.005583,1375000
results/buffer-gather-2026-09-11,5,split,15625,0,2,250271,0.006291,0.005833,0.006959,1500000
results/buffer-gather-2026-09-11,5,split,15625,0,3,125141,0.005916,0.005583,0.005958,1625000
results/buffer-gather-2026-09-11,5,split,15625,0,4,62642,0.006041,0.005958,0.007125,1750000
results/buffer-gather-2026-09-11,5,split,15625,0,5,31334,0.005875,0.005791,0.005917,1875000
results/buffer-gather-2026-09-11,5,split,15625,0,6,15805,0.006,0.005958,0.006292,2000000
results/buffer-gather-2026-09-11,5,split,15625,0,7,7896,0.005958,0.005792,0.006,2125000
results/buffer-gather-2026-09-11,5,split,15625,0,8,3896,0.006,0.005875,0.006583,2250000
results/buffer-gather-2026-09-11,5,leaf,15625,0,8,3896,0.010833,0.008625,0.017708,2125000
results/buffer-gather-2026-09-11,5,release,15625,0,8,0,0.003125,0.003125,0.003209,1000000
results/buffer-gather-2026-09-11,6,root,15625000,0,0,0,0.935875,0.934625,0.9415,1125000000
results/buffer-gather-2026-09-11,6,split,15625000,0,1,499985147,5.417583,5.182583,5.674083,1375000000
results/buffer-gather-2026-09-11,6,split,15625000,0,2,249977510,5.08875,5.066334,5.184291,1500000000
results/buffer-gather-2026-09-11,6,split,15625000,0,3,124990505,5.520084,5.117125,5.6585,1625000000
results/buffer-gather-2026-09-11,6,split,15625000,0,4,62498906,5.100917,5.059375,5.442208,1750000000
results/buffer-gather-2026-09-11,6,split,15625000,0,5,31250162,5.215208,5.109333,5.637792,1875000000
results/buffer-gather-2026-09-11,6,split,15625000,0,6,15624900,5.69525,5.247625,5.717375,2000000000
results/buffer-gather-2026-09-11,6,split,15625000,0,7,7812548,5.155,5.017334,5.717333,2125000000
results/buffer-gather-2026-09-11,6,split,15625000,0,8,3906297,5.124917,5.077292,5.641959,2250000000
results/buffer-gather-2026-09-11,6,leaf,15625000,0,8,3906297,23.477958,23.429417,23.594958,2125000000
results/buffer-gather-2026-09-11,6,release,15625000,0,8,0,0.005917,0.005584,0.006333,1000000000
results/buffer-gather-2026-09-11,7,gather,16000000,256,12,3902,0.238625,0.236208,0.24375,642001024
results/buffer-gather-2026-09-11,8,gather,16000000,256,8,62692,4.399542,4.279625,5.352708,642001024
results/buffer-gather-2026-09-11,9,gather,1000000,256,8,3889,0.14575,0.144375,0.154291,40126024
results/buffer-gather-2026-09-11,10,gather,16000000,256,13,1957,0.159209,0.157583,0.165125,642001024
results/buffer-gather-2026-09-11,11,gather,4000000,256,12,1044,0.066334,0.06425,0.070916,160501024
results/buffer-gather-2026-09-11,12,gather,1000000,256,12,236,0.020375,0.018834,0.023625,40126024
results/buffer-gather-2026-09-11,13,gather,4000000,256,8,15726,0.596792,0.593625,0.635125,160501024
results/buffer-gather-2026-09-11,14,score,128,256,0,128,0.009334,0.008625,0.010792,6144
