routing_method,probes,kind,node_budget,explore_probability,comparison,metric,queries,search_seeds,difference,ci_low,ci_high
ivf,1,branch,1024,0.1,exploration-minus-deterministic,binary_recall,648,3,0.0,0.0,0.0
ivf,1,branch,1024,0.1,exploration-minus-deterministic,ndcg,648,3,1.0708169604795105e-18,1.7079530519648195e-19,2.05596856412066e-18
ivf,1,branch,1024,0.1,exploration-minus-deterministic,precision,648,3,6.424901762877063e-18,5.589664533703045e-18,7.281555331260672e-18
ivf,1,branch,1024,0.1,exploration-minus-deterministic,relevance_recall,648,3,7.709882115452476e-19,3.4266142735344336e-19,1.2849803525754126e-18
ivf,1,branch,2048,0.0,branch-minus-scan,float_recall,648,1,0.0,0.0,0.0
ivf,1,branch,2048,0.0,branch-minus-scan,binary_recall,648,1,0.0,0.0,0.0
ivf,1,branch,2048,0.0,branch-minus-scan,ndcg,648,1,0.0,0.0,0.0
ivf,1,branch,2048,0.0,branch-minus-scan,precision,648,1,0.0,0.0,0.0
ivf,1,branch,2048,0.0,branch-minus-scan,relevance_recall,648,1,0.0,0.0,0.0
ivf,1,branch,2048,0.1,branch-minus-scan,float_recall,648,3,5.0328397142536996e-18,1.2421476741562324e-18,8.43857305705878e-18
ivf,1,branch,2048,0.1,branch-minus-scan,binary_recall,648,3,0.0,0.0,0.0
ivf,1,branch,2048,0.1,branch-minus-scan,ndcg,648,3,1.0708169604795105e-18,1.7079530519648195e-19,2.05596856412066e-18
ivf,1,branch,2048,0.1,branch-minus-scan,precision,648,3,6.424901762877063e-18,5.589664533703045e-18,7.281555331260672e-18
ivf,1,branch,2048,0.1,branch-minus-scan,relevance_recall,648,3,7.709882115452476e-19,3.4266142735344336e-19,1.2849803525754126e-18
ivf,1,branch,2048,0.1,exploration-minus-deterministic,float_recall,648,3,5.0328397142536996e-18,1.2421476741562324e-18,8.43857305705878e-18
ivf,1,branch,2048,0.1,exploration-minus-deterministic,binary_recall,648,3,0.0,0.0,0.0
ivf,1,branch,2048,0.1,exploration-minus-deterministic,ndcg,648,3,1.0708169604795105e-18,1.7079530519648195e-19,2.05596856412066e-18
ivf,1,branch,2048,0.1,exploration-minus-deterministic,precision,648,3,6.424901762877063e-18,5.589664533703045e-18,7.281555331260672e-18
ivf,1,branch,2048,0.1,exploration-minus-deterministic,relevance_recall,648,3,7.709882115452476e-19,3.4266142735344336e-19,1.2849803525754126e-18
ivf,1,branch,4096,0.0,branch-minus-scan,float_recall,648,1,0.0,0.0,0.0
ivf,1,branch,4096,0.0,branch-minus-scan,binary_recall,648,1,0.0,0.0,0.0
ivf,1,branch,4096,0.0,branch-minus-scan,ndcg,648,1,0.0,0.0,0.0
ivf,1,branch,4096,0.0,branch-minus-scan,precision,648,1,0.0,0.0,0.0
ivf,1,branch,4096,0.0,branch-minus-scan,relevance_recall,648,1,0.0,0.0,0.0
ivf,1,branch,4096,0.1,branch-minus-scan,float_recall,648,3,5.0328397142536996e-18,1.2421476741562324e-18,8.43857305705878e-18
ivf,1,branch,4096,0.1,branch-minus-scan,binary_recall,648,3,0.0,0.0,0.0
ivf,1,branch,4096,0.1,branch-minus-scan,ndcg,648,3,1.0708169604795105e-18,1.7079530519648195e-19,2.05596856412066e-18
ivf,1,branch,4096,0.1,branch-minus-scan,precision,648,3,6.424901762877063e-18,5.589664533703045e-18,7.281555331260672e-18
ivf,1,branch,4096,0.1,branch-minus-scan,relevance_recall,648,3,7.709882115452476e-19,3.4266142735344336e-19,1.2849803525754126e-18
ivf,1,branch,4096,0.1,exploration-minus-deterministic,float_recall,648,3,5.0328397142536996e-18,1.2421476741562324e-18,8.43857305705878e-18
ivf,1,branch,4096,0.1,exploration-minus-deterministic,binary_recall,648,3,0.0,0.0,0.0
ivf,1,branch,4096,0.1,exploration-minus-deterministic,ndcg,648,3,1.0708169604795105e-18,1.7079530519648195e-19,2.05596856412066e-18
ivf,1,branch,4096,0.1,exploration-minus-deterministic,precision,648,3,6.424901762877063e-18,5.589664533703045e-18,7.281555331260672e-18
ivf,1,branch,4096,0.1,exploration-minus-deterministic,relevance_recall,648,3,7.709882115452476e-19,3.4266142735344336e-19,1.2849803525754126e-18
ivf,2,branch,0,0.0,branch-minus-scan,float_recall,648,1,0.0,0.0,0.0
ivf,2,branch,0,0.0,branch-minus-scan,binary_recall,648,1,0.0,0.0,0.0
ivf,2,branch,0,0.0,branch-minus-scan,ndcg,648,1,0.0,0.0,0.0
ivf,2,branch,0,0.0,branch-minus-scan,precision,648,1,0.0,0.0,0.0
ivf,2,branch,0,0.0,branch-minus-scan,relevance_recall,648,1,0.0,0.0,0.0
ivf,2,branch,0,0.1,branch-minus-scan,float_recall,648,3,1.0772418622423876e-17,6.639065154972965e-18,1.5038017984494002e-17
