routing_method,probes,kind,node_budget,explore_probability,queries,search_seeds,seeds,timing_repetitions,requests,float_recall,float_recall_ci_low,float_recall_ci_high,float_recall_seed_min,float_recall_seed_max,binary_recall,binary_recall_ci_low,binary_recall_ci_high,binary_recall_seed_min,binary_recall_seed_max,ndcg,ndcg_ci_low,ndcg_ci_high,ndcg_seed_min,ndcg_seed_max,precision,precision_ci_low,precision_ci_high,precision_seed_min,precision_seed_max,relevance_recall,relevance_recall_ci_low,relevance_recall_ci_high,relevance_recall_seed_min,relevance_recall_seed_max,budget_exhausted,routing_float_recall,empty_result,fewer_than_k,candidate_fill_rate,candidates,nodes,random_nodes,documents_scored,bitplane_words,routed_documents,selected_buckets,retrieval_request_p50_ms,retrieval_request_p95_ms,core_request_p50_ms,core_request_p95_ms,native_request_p50_ms,native_request_p95_ms,routing_request_p50_ms,routing_request_p95_ms,rerank_request_p50_ms,rerank_request_p95_ms,request_p50_ms,query_median_p50_ms,request_p95_ms,query_median_p95_ms
sign,1,branch,32,0.1,648,3,"42,43,44",3,5832,0.020781893004115228,0.015736882716049384,0.026700102880658435,0.020216049382716053,0.021604938271604937,0.19516681363903587,0.17260091490299823,0.21656687242798348,0.19419973544973543,0.19634479717813053,0.018037707565451058,0.011397959824543941,0.026725705146908127,0.016956705593080212,0.019622781469172297,0.0048353909465020575,0.002827932098765433,0.00756301440329218,0.004629629629629629,0.0052469135802469145,0.016456952683804534,0.009757886682076495,0.025026865602675787,0.015709843140398694,0.01769397012452568,0.9274691358024691,0.1558641975308642,0.1743827160493827,0.31275720164609055,0.40543944738389176,36.38477366255144,30.26851851851852,2.765432098765432,39.48816872427983,1100.7026748971193,2300.2484567901233,1.0,0.03691692836582661,0.06891642697155476,0.017040874809026718,0.025624874979257584,0.015,0.023352449999999993,0.006707850843667984,0.00874977558851242,0.012416159734129906,0.03645941615104675,0.03691692836582661,0.034667085856199265,0.06891642697155476,0.06592487140248218
sign,1,branch,64,0.0,648,1,42,3,1944,0.11064814814814815,0.10015432098765431,0.12161265432098764,0.11064814814814815,0.11064814814814815,0.5541997354497354,0.5315608465608466,0.5740294312169313,0.5541997354497354,0.5541997354497354,0.08384286227925966,0.06765124212483271,0.10053936657059703,0.08384286227925966,0.08384286227925966,0.020216049382716053,0.016358024691358025,0.024228395061728396,0.020216049382716053,0.020216049382716053,0.08274507128673796,0.06608714223876261,0.09977436347517366,0.08274507128673796,0.08274507128673796,0.8364197530864198,0.1558641975308642,0.0015432098765432098,0.016975308641975308,0.9807583774250441,93.91666666666667,58.62808641975309,0.0,174.7314814814815,1874.817901234568,2300.2484567901233,1.0,0.07287506014108658,0.08772506844252347,0.03172946162521839,0.04240451380610465,0.0296665,0.0400357,0.00658305361866951,0.008499715477228165,0.03383355215191841,0.03925005439668894,0.07287506014108658,0.07260451093316078,0.08772506844252347,0.08322081994265318
sign,1,branch,64,0.1,648,3,"42,43,44",3,5832,0.10622427983539096,0.09608924897119343,0.11723508230452674,0.10570987654320987,0.1067901234567901,0.5347964432686655,0.5107998787477954,0.556039866255144,0.5332275132275133,0.5357892416225749,0.08224282591606112,0.06613862468384255,0.0986762304712915,0.08184106153356886,0.08291526826737088,0.019701646090534982,0.015790895061728396,0.02371527777777778,0.019444444444444448,0.019907407407407412,0.08108346700167687,0.06465409254954008,0.09826125927399074,0.08043025647192314,0.08167584730084729,0.8364197530864198,0.1558641975308642,0.0005144032921810699,0.015946502057613166,0.9744209288653733,93.28292181069958,58.62808641975309,5.579218106995884,177.32150205761317,1862.4207818930042,2300.2484567901233,1.0,0.07475004531443119,0.09050008375197649,0.03312481567263603,0.04476848989725112,0.031,0.042375,0.006791204214096069,0.008875038474798203,0.034084077924489975,0.03950018435716629,0.07475004531443119,0.07502098257342973,0.09050008375197649,0.08511118746052186
sign,1,branch,128,0.0,648,1,42,3,1944,0.12669753086419755,0.11543209876543209,0.13873842592592592,0.12669753086419755,0.12669753086419755,0.7174867724867725,0.6987654320987655,0.7338651344797177,0.7174867724867725,0.7174867724867725,0.0847402720161775,0.06925952633418979,0.10157848447101855,0.0847402720161775,0.0847402720161775,0.021296296296296296,0.017434413580246912,0.025308641975308643,0.021296296296296296,0.021296296296296296,0.08586823413212302,0.06933034782861171,0.10305867732661712,0.08586823413212302,0.08586823413212302,0.7345679012345679,0.1558641975308642,0.0,0.015432098765432098,0.9989528218694885,95.73611111111111,108.30401234567901,0.0,360.2283950617284,3714.742283950617,2300.2484567901233,1.0,0.0855419784784317,0.10458326432853937,0.045103952288627625,0.06070190574973821,0.042917,0.0579517,0.0064587220549583435,0.008416757918894291,0.03358302637934685,0.03828557673841714,0.0855419784784317,0.08585397154092789,0.10458326432853937,0.09895814582705498
sign,1,branch,128,0.1,648,3,"42,43,44",3,5832,0.12638888888888888,0.11542566872427984,0.13853652263374486,0.12608024691358027,0.12669753086419752,0.7170701058201059,0.6984206532921812,0.7333121693121694,0.7165145502645502,0.7179188712522047,0.08461109666914442,0.06895902188349821,0.10163958827964674,0.08435564414728422,0.08491218655002324,0.02114197530864198,0.017281378600823048,0.025207047325102882,0.020987654320987655,0.021296296296296296,0.08555530546271288,0.06890920657703065,0.10283890353045445,0.08516092960537405,0.08582965388520944,0.7345679012345679,0.1558641975308642,0.0,0.015432098765432098,0.9989528218694885,95.73611111111111,108.30401234567901,10.551440329218108,375.97273662551436,3591.3966049382716,2300.2484567901233,1.0,0.0926661305129528,0.1238328404724598,0.050416914746165276,0.07137490902096033,0.048125,0.06810245,0.006875023245811462,0.011121225543320163,0.03454089164733887,0.04387097433209418,0.0926661305129528,0.09366652617851894,0.1238328404724598,0.10908208787441254
sign,1,branch,256,0.0,648,1,42,3,1944,0.13827160493827162,0.12638117283950617,0.1509259259259259,0.13827160493827162,0.13827160493827162,0.8687522045855379,0.8555179122574955,0.8813140432098766,0.8687522045855379,0.8687522045855379,0.08671342448266328,0.07116819632389532,0.104024491830085,0.08671342448266328,0.08671342448266328,0.02191358024691358,0.017901234567901235,0.02592592592592593,0.02191358024691358,0.02191358024691358,0.09021494195105306,0.07350502378280156,0.10778340240435147,0.09021494195105306,0.09021494195105306,0.5771604938271605,0.1558641975308642,0.0,0.015432098765432098,0.9989528218694885,95.73611111111111,191.56635802469137,0.0,717.9722222222222,6929.026234567901,2300.2484567901233,1.0,0.11358363553881645,0.1430777832865715,0.07237517274916172,0.09923754259943961,0.069875,0.09586884999999999,0.0067497603595256805,0.008576526306569573,0.034041935577988625,0.038667116314172745,0.11358363553881645,0.11449959129095078,0.1430777832865715,0.13756707776337862
sign,1,branch,256,0.1,648,3,"42,43,44",3,5832,0.13878600823045267,0.12643904320987653,0.1515457818930041,0.1382716049382716,0.1390432098765432,0.8671369782480894,0.854417328042328,0.879839818489124,0.8665762786596121,0.8674867724867725,0.08714799692680998,0.07169510749447115,0.1044583111125051,0.08671896101576104,0.0878446508499712,0.022067901234567904,0.01805555555555556,0.026131687242798355,0.02191358024691358,0.022376543209876542,0.09065218474940696,0.07406958139597028,0.1082473224863271,0.09021494195105306,0.0915266703461148,0.5771604938271605,0.1558641975308642,0.0,0.015432098765432098,0.9989528218694885,95.73611111111111,191.56635802469137,18.82664609053498,736.6640946502058,6726.4701646090525,2300.2484567901233,1.0,0.11862511746585369,0.14974989462643862,0.07699988782405853,0.1044590026140213,0.074375,0.101208,0.006875023245811462,0.009083189070224762,0.034374650567770004,0.0399579294025898,0.11862511746585369,0.12065268432100615,0.14974989462643862,0.14160537005712587
sign,1,branch,512,0.0,648,1,42,3,1944,0.14907407407407405,0.13595293209876544,0.16311728395061725,0.14907407407407405,0.14907407407407405,0.9719444444444444,0.9672376543209876,0.9764363425925926,0.9719444444444444,0.9719444444444444,0.09089426867368369,0.0749344082847836,0.10839378944002656,0.09089426867368369,0.09089426867368369,0.023148148148148147,0.018981481481481485,0.02731867283950617,0.023148148148148147,0.023148148148148147,0.09613057981113536,0.07850039192631784,0.11446503588575346,0.09613057981113536,0.09613057981113536,0.38271604938271603,0.1558641975308642,0.0,0.015432098765432098,1.0,95.79475308641975,311.108024691358,0.0,1399.7206790123457,11148.108024691359,2300.2484567901233,1.0,0.14087441377341747,0.22020796313881874,0.09827036410570145,0.17588576301932332,0.0960625,0.1725,0.006791669875383377,0.00858306884765625,0.03437511622905731,0.038917106576263905,0.14087441377341747,0.1388539094477892,0.22020796313881874,0.21245388779789207
sign,1,branch,512,0.1,648,3,"42,43,44",3,5832,0.1491255144032922,0.13626286008230454,0.1632227366255144,0.14891975308641975,0.14938271604938275,0.9708847736625514,0.9660698302469135,0.9755816615226336,0.9707716049382715,0.9709567901234567,0.09084859828619353,0.07494269620887724,0.10841329612707726,0.09070750391564024,0.09093024218255905,0.023096707818930043,0.018981481481481485,0.027265946502057613,0.022993827160493828,0.023148148148148147,0.09600197898809008,0.07850039192631784,0.11431593729915489,0.09574477734199957,0.09613057981113536,0.38271604938271603,0.1558641975308642,0.0,0.015432098765432098,1.0,95.79475308641975,311.108024691358,30.708333333333332,1408.894547325103,11010.3420781893,2300.2484567901233,1.0,0.14304136857390404,0.22126503754407165,0.10072928853332996,0.1770560862496495,0.0986665,0.17360245,0.006792135536670685,0.00879096332937479,0.03404216840863228,0.03933301195502281,0.14304136857390404,0.13760430738329887,0.22126503754407165,0.2114179078489542
sign,1,branch,1024,0.0,648,1,42,3,1944,0.15108024691358027,0.13796296296296295,0.16559027777777777,0.15108024691358027,0.15108024691358027,0.9994135802469137,0.9990895061728395,0.9996759259259258,0.9994135802469137,0.9994135802469137,0.0902970695436332,0.0741080042098311,0.1073461954208618,0.0902970695436332,0.0902970695436332,0.022839506172839506,0.018827160493827162,0.02701003086419753,0.022839506172839506,0.022839506172839506,0.09629592372647927,0.07836166212902324,0.11504037329268808,0.09629592372647927,0.09629592372647927,0.11882716049382716,0.1558641975308642,0.0,0.015432098765432098,1.0,95.79475308641975,432.25771604938274,0.0,2188.08024691358,15209.069444444445,2300.2484567901233,1.0,0.14118733815848827,0.347147136926651,0.09820843115448952,0.30497475527226925,0.09635450000000001,0.30164825,0.006834045052528381,0.009035924449563023,0.0341455452144146,0.03915976267307996,0.14118733815848827,0.13985414989292622,0.347147136926651,0.3446444170549512
sign,1,branch,1024,0.1,648,3,"42,43,44",3,5832,0.15108024691358027,0.13796296296296298,0.16559027777777777,0.15108024691358027,0.15108024691358027,0.9993672839506171,0.9990226337448559,0.9996347736625514,0.9993518518518517,0.9993827160493829,0.0902970695436332,0.0741080042098311,0.1073461954208618,0.0902970695436332,0.0902970695436332,0.02283950617283951,0.018827160493827162,0.027010030864197534,0.022839506172839506,0.022839506172839506,0.09629592372647927,0.07836166212902324,0.11504037329268808,0.09629592372647927,0.09629592372647927,0.11882716049382716,0.1558641975308642,0.0,0.015432098765432098,1.0,95.79475308641975,432.25771604938274,42.757716049382715,2189.2021604938273,15179.785493827161,2300.2484567901233,1.0,0.14777062460780144,0.3714170306921005,0.10281242430210114,0.3264875384047627,0.1007295,0.32327529999999993,0.007125083357095718,0.010143732652068131,0.0349581241607666,0.042143557220697396,0.14777062460780144,0.14495143356422585,0.3714170306921005,0.3649400702367226
sign,1,branch,2048,0.0,648,1,42,3,1944,0.15108024691358027,0.13796296296296295,0.16559027777777777,0.15108024691358027,0.15108024691358027,1.0,0.9999999999999998,1.0,1.0,1.0,0.0902970695436332,0.0741080042098311,0.1073461954208618,0.0902970695436332,0.0902970695436332,0.022839506172839506,0.018827160493827162,0.02701003086419753,0.022839506172839506,0.022839506172839506,0.09629592372647927,0.07836166212902324,0.11504037329268808,0.09629592372647927,0.09629592372647927,0.0,0.1558641975308642,0.0,0.015432098765432098,1.0,95.79475308641975,447.9675925925926,0.0,2300.2484567901233,15501.421296296296,2300.2484567901233,1.0,0.14908285811543465,0.40929552633315325,0.10489602573215961,0.3614454995840788,0.101958,0.35815805,0.007292255759239197,0.012320140376687043,0.035458244383335114,0.0442598247900605,0.14908285811543465,0.14652032405138016,0.40929552633315325,0.4012475488707423
sign,1,branch,2048,0.1,648,3,"42,43,44",3,5832,0.15108024691358027,0.13796296296296298,0.16559027777777777,0.15108024691358027,0.15108024691358027,1.0,0.9999999999999998,1.0,1.0,1.0,0.0902970695436332,0.0741080042098311,0.1073461954208618,0.0902970695436332,0.0902970695436332,0.02283950617283951,0.018827160493827162,0.027010030864197534,0.022839506172839506,0.022839506172839506,0.09629592372647927,0.07836166212902324,0.11504037329268808,0.09629592372647927,0.09629592372647927,0.0,0.1558641975308642,0.0,0.015432098765432098,1.0,95.79475308641975,447.9675925925926,44.318415637860085,2300.2484567901233,15501.421296296296,2300.2484567901233,1.0,0.14827074483036995,0.3978063352406025,0.10352116078138351,0.3527230815961957,0.101083,0.35029374999999996,0.007082708179950714,0.010018935427069657,0.03470852971076965,0.04245822783559561,0.14827074483036995,0.14350687464078266,0.3978063352406025,0.3909942926838994
sign,1,branch,4096,0.0,648,1,42,3,1944,0.15108024691358027,0.13796296296296295,0.16559027777777777,0.15108024691358027,0.15108024691358027,1.0,0.9999999999999998,1.0,1.0,1.0,0.0902970695436332,0.0741080042098311,0.1073461954208618,0.0902970695436332,0.0902970695436332,0.022839506172839506,0.018827160493827162,0.02701003086419753,0.022839506172839506,0.022839506172839506,0.09629592372647927,0.07836166212902324,0.11504037329268808,0.09629592372647927,0.09629592372647927,0.0,0.1558641975308642,0.0,0.015432098765432098,1.0,95.79475308641975,447.9675925925926,0.0,2300.2484567901233,15501.421296296296,2300.2484567901233,1.0,0.1479999627918005,0.3990467870607972,0.10208296589553356,0.3551159752532839,0.0992915,0.352959,0.007166992872953415,0.009868922643363472,0.03512529656291008,0.042285537347197526,0.1479999627918005,0.14408351853489876,0.3990467870607972,0.3929274855181575
sign,1,branch,4096,0.1,648,3,"42,43,44",3,5832,0.15108024691358027,0.13796296296296298,0.16559027777777777,0.15108024691358027,0.15108024691358027,1.0,0.9999999999999998,1.0,1.0,1.0,0.0902970695436332,0.0741080042098311,0.1073461954208618,0.0902970695436332,0.0902970695436332,0.02283950617283951,0.018827160493827162,0.027010030864197534,0.022839506172839506,0.022839506172839506,0.09629592372647927,0.07836166212902324,0.11504037329268808,0.09629592372647927,0.09629592372647927,0.0,0.1558641975308642,0.0,0.015432098765432098,1.0,95.79475308641975,447.9675925925926,44.318415637860085,2300.2484567901233,15501.421296296296,2300.2484567901233,1.0,0.155207933858037,0.4176025278866291,0.1076660118997097,0.3662877716124058,0.104292,0.36326844999999996,0.007084105163812637,0.014559808187186711,0.0350000336766243,0.050541432574391365,0.155207933858037,0.14791668703158695,0.4176025278866291,0.4015251295641064
sign,1,scan,0,0.0,648,1,42,3,1944,0.15108024691358027,0.13796296296296295,0.16559027777777777,0.15108024691358027,0.15108024691358027,1.0,0.9999999999999998,1.0,1.0,1.0,0.0902970695436332,0.0741080042098311,0.1073461954208618,0.0902970695436332,0.0902970695436332,0.022839506172839506,0.018827160493827162,0.02701003086419753,0.022839506172839506,0.022839506172839506,0.09629592372647927,0.07836166212902324,0.11504037329268808,0.09629592372647927,0.09629592372647927,0.0,0.1558641975308642,0.0,0.015432098765432098,1.0,95.79475308641975,0.0,0.0,2300.2484567901233,0.0,2300.2484567901233,1.0,0.10635401122272015,0.22258323151618242,0.0616670586168766,0.18002302385866642,0.060208,0.1785357,0.006792135536670685,0.00870879739522934,0.03404170274734497,0.03979215398430824,0.10635401122272015,0.10252022184431553,0.22258323151618242,0.2206234261393547
sign,2,branch,0,0.0,648,1,42,3,1944,0.2558641975308642,0.23981095679012346,0.2743827160493827,0.2558641975308642,0.2558641975308642,1.0,0.9999999999999998,1.0,1.0,1.0,0.15374040111175433,0.13253133142120518,0.17621221360592215,0.15374040111175433,0.15374040111175433,0.04058641975308642,0.035181327160493825,0.046296296296296294,0.04058641975308642,0.04058641975308642,0.16873866017384537,0.14551985769289008,0.1936073143249069,0.16873866017384537,0.16873866017384537,0.0,0.2699074074074075,0.0,0.004629629629629629,1.0,97.85185185185185,865.0956790123457,0.0,4459.751543209876,29391.14814814815,4459.810185185185,2.0,0.26995851658284664,0.6447501946240661,0.22883340716362,0.5998311564326285,0.2266665,0.5977704999999999,0.007125083357095718,0.010000006295740604,0.0350000336766243,0.04249997437000275,0.26995851658284664,0.2699163742363453,0.6447501946240661,0.6280916510149837
sign,2,branch,0,0.1,648,3,"42,43,44",3,5832,0.2558641975308642,0.23981095679012346,0.2743827160493827,0.2558641975308642,0.2558641975308642,1.0,0.9999999999999998,1.0,1.0,1.0,0.15374040111175433,0.13253133142120518,0.17621221360592215,0.15374040111175433,0.15374040111175433,0.040586419753086425,0.03518132716049383,0.0462962962962963,0.04058641975308642,0.04058641975308642,0.16873866017384537,0.14551985769289008,0.1936073143249069,0.16873866017384537,0.16873866017384537,0.0,0.2699074074074075,0.0,0.004629629629629629,1.0,97.85185185185185,865.0956790123457,86.08384773662551,4459.751543209876,29391.14814814815,4459.810185185185,2.0,0.28164591640233994,0.68390395026654,0.23672939278185368,0.6330234231427311,0.2345625,0.6295253,0.007417052984237671,0.011999835260212421,0.03639538772404194,0.046184728853404515,0.28164591640233994,0.28206966817379,0.68390395026654,0.6597106733048955
