method,probes,node_budget,explore_probability,seed,measurements,float_recall,binary_recall,ndcg,precision,relevance_recall,candidates,nodes,random_nodes,documents_scored,budget_exhausted,bitplane_words,routed_documents,selected_buckets,routing_float_recall,empty_result,fewer_than_k,candidate_fill_rate,retrieval_p50_ms,retrieval_p95_ms,core_p50_ms,core_p95_ms,native_p50_ms,native_p95_ms,routing_p50_ms,routing_p95_ms,rerank_p50_ms,rerank_p95_ms
ivf/branch,1,512,0.1,43,1944,0.4594135802469136,0.9999845679012346,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.4814814814815,25.118827160493826,1064.516975308642,0.004629629629629629,2835.1373456790125,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11397944763302803,0.15556549187749624,0.07189554162323475,0.11290437541902064,0.06975,0.11062769999999995,0.005917157977819443,0.007832888513803482,0.03441609442234039,0.039999838918447495
ivf/branch,1,512,0.1,44,1944,0.4594135802469136,0.9999845679012346,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.4814814814815,25.189814814814813,1064.5046296296296,0.004629629629629629,2835.1836419753085,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11481205001473427,0.1632830128073692,0.07254187949001789,0.11617774143815039,0.0704375,0.1136544,0.006042420864105225,0.009125098586082458,0.03450014628469944,0.04149973392486572
ivf/branch,1,1024,0.0,42,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,0.0,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11570844799280167,0.1598623814061284,0.07224990986287594,0.11463600676506756,0.070125,0.1120357,0.006041955202817917,0.008368631824851033,0.03533298149704933,0.041868700645864
ivf/branch,1,1024,0.1,42,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,25.14351851851852,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11504162102937698,0.1610106788575649,0.07314607501029968,0.1172501826658845,0.071,0.114917,0.005958136171102524,0.009654555469751351,0.03408314660191536,0.04166101571172475
ivf/branch,1,1024,0.1,43,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,25.123456790123456,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.1141249667853117,0.15643313527107236,0.07206248119473457,0.11348777916282414,0.0700625,0.11152854999999999,0.005958136171102524,0.0074999406933784485,0.034708064049482346,0.03944537602365016
ivf/branch,1,1024,0.1,44,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,25.19753086419753,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11825002729892731,0.1703623216599226,0.07427064701914787,0.12064180336892603,0.07175,0.11794374999999996,0.006209127604961395,0.012058694846928104,0.03539561294019222,0.04532691091299056
ivf/branch,1,2048,0.0,42,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,0.0,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11341646313667297,0.15698752831667662,0.07083406671881676,0.1133562996983528,0.0686665,0.11131424999999999,0.005957670509815216,0.007791770622134209,0.0344796571880579,0.04052929580211639
ivf/branch,1,2048,0.1,42,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,25.14351851851852,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11310447007417679,0.1549150329083204,0.07110461592674255,0.11277315206825732,0.069125,0.11080629999999995,0.005916692316532135,0.007534772157669064,0.03458419814705849,0.03895200788974761
ivf/branch,1,2048,0.1,43,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,25.123456790123456,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11218804866075516,0.155320530757308,0.07062498480081558,0.11240451131016015,0.06868750000000001,0.11034379999999998,0.0058747828006744385,0.007582828402519226,0.03404216840863228,0.039833527989685535
ivf/branch,1,2048,0.1,44,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,25.19753086419753,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11322880163788795,0.1568078529089689,0.07149996235966682,0.11383148375898597,0.069521,0.1116411,0.005875248461961746,0.007541710510849953,0.03437511622905731,0.03966689109802246
