method,clusters,router,setting_id,repetitions,top_k,probes,leaf_size,node_budget,prefer_deeper_ties,exploration,seed,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0063,1,10,45,,,,,,3000,3,True,True,0.9009,0.04100000660400838,0.04808300582226366,125.19722235447261,0.040166996768675745,0.04014549631392583,0.04302050365367904,8366896,78053376,6077.925,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0066,1,10,84,,,,,,3000,3,True,True,0.95,0.06595799641218036,0.07550414302386341,200.10673861543182,0.06554149149451405,0.06512500112876296,0.06697900244034827,8366896,78053376,11326.941,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0069,1,10,243,,,,,,3000,3,True,True,0.99,0.16924999363254756,0.18954409897560254,511.05811445449945,0.16764600877650082,0.16627099830657244,0.17308300448348746,8366896,78053376,32612.65,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0000,1,1,16,,,,,,3000,3,True,True,0.803,0.02083300205413252,0.02433299960102886,63.6846008565044,0.02099999983329326,0.020167004549875855,0.0212500017369166,8366896,78266368,2166.455,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0003,1,1,35,,,,,,3000,3,True,True,0.901,0.03295800706837326,0.0383360580599401,100.2847860509064,0.032790994737297297,0.0318750026053749,0.034208991564810276,8366896,78266368,4732.377,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0006,1,1,67,,,,,,3000,3,True,True,0.95,0.053790994570590556,0.06200205607456154,163.0615256872261,0.05345800309441984,0.05183300527278334,0.055791999329812825,8366896,78266368,9044.784,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0009,1,1,180,,,,,,3000,3,True,True,0.99,0.12924999464303255,0.14616810003644787,390.6899432040518,0.1282500015804544,0.12558299931697547,0.13389549712883309,8366896,78266368,24181.137,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0012,1,2,16,,,,,,3000,3,True,True,0.8,0.02079200930893421,0.023917004000395536,63.39844812464435,0.02058300015050918,0.019854494894389063,0.022167005226947367,8366896,78266368,2166.455,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0015,1,2,36,,,,,,3000,3,True,True,0.9025,0.033915996027644724,0.03908509534085168,103.00539985473733,0.03383299917913973,0.03272950561949983,0.0351249982486479,8366896,78266368,4868.495,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0109,1,50,31,2048,8192,True,0,42,3000,3,True,True,0.80312,0.04124999395571649,0.04966699634678662,126.55213095422368,0.04149999585933983,0.04058400372741744,0.041749997762963176,10965040,80674816,4191.465,31.0,0.0,80.446,0.0,0.0,0.0,,,
