target,meets_target,method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,leaf_size,node_budget,exploration,seed,start_depth,candidate_target
0.9,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00524,10,17,1,3000,3,True,True,0.9004,0.19389599992791773,0.2226292007435404,586.0341979478108,0.1938539999173372,0.19339600066814455,0.19420899980104878,23008964,111771648,2354.693,0.0,0.0,0.0,17.0,544.0,0.0,,,,,16,0
0.95,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00399,10,54,1,3000,3,True,True,0.9506,0.37441699987539323,0.42854104958678363,1127.210254990132,0.3740209995157784,0.37391649993878673,0.37502099985431414,20917240,122142720,7249.372,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.95,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00446,10,54,1,3000,3,True,True,0.9506,0.39474999994126847,0.45067114933772245,1187.4793549941387,0.39308350005740067,0.3922710002370877,0.3985209996244521,41821176,143441920,7249.372,54.0,0.0,139.996,0.0,0.0,0.0,2048,512,0,42,,
0.95,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00526,10,54,1,3000,3,True,True,0.9506,0.43283399963911506,0.4950419997840072,1302.9167509776016,0.43227049991401145,0.43129199957547826,0.4345629999988887,23008964,111771648,7249.372,0.0,0.0,0.0,17.0,1728.0,0.0,,,,,16,10000
0.99,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00400,10,303,1,3000,3,True,True,0.99,1.6816874999676656,1.8698937500175816,5065.874417987288,1.6816874999676656,1.6740625001148146,1.6875000001164153,20917240,122142720,39600.397,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.99,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00451,10,303,1,3000,3,True,True,0.99,1.7652920000728045,1.9546701996659976,5314.954250022311,1.7602710004211986,1.7553955003677402,1.780562500243832,41821176,143441920,39600.397,303.0,0.0,769.029,0.0,0.0,0.0,2048,8192,0,42,,
0.99,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00532,10,303,1,3000,3,True,True,0.99,2.020083500610781,2.237554499470207,6086.027009006102,2.020437499595573,2.0195205001982686,2.0211670002936444,23008964,111771648,39600.397,0.0,0.0,0.0,17.0,9696.0,0.0,,,,,16,100000
0.5,True,scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,main-s00222,100,2,1,3000,3,True,True,0.56452,0.09175000013783574,0.11883719976140125,279.7936520073563,0.09208299979945878,0.09110450037042028,0.09247899970432627,20917240,118652928,1132.15,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.5,True,branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,main-s00278,100,2,1,3000,3,True,True,0.56452,0.1004169998850557,0.12745804997393861,306.0420750207413,0.10035450031864457,0.10020799982157769,0.10100000054080738,38663160,137248768,1132.15,2.0,0.0,18.662,0.0,0.0,0.0,2048,512,0,42,,
0.5,True,prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,main-s00360,100,2,1,3000,3,True,True,0.55395,0.09529199996904936,0.11604405058278643,288.7189339962788,0.09574999967298936,0.09395899996889057,0.09616649958843482,23008964,105480192,1080.071,0.0,0.0,0.0,16.696,63.36,0.304,,,,,16,1000
0.8,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00403,100,19,1,3000,3,True,True,0.8025,0.2068544999929145,0.23729819981781472,624.5589250083867,0.20762499980264693,0.20464550016185967,0.20812499951716745,20917240,122142720,2624.06,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.8,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00462,100,19,1,3000,3,True,True,0.8025,0.21716650007874705,0.247548249672036,655.6981180119692,0.21735449990956113,0.21629200000461424,0.21795799966639606,41821176,143441920,2624.06,19.0,0.0,50.388,0.0,0.0,0.0,2048,512,0,42,,
0.8,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00546,100,19,1,3000,3,True,True,0.8025,0.2308330003870651,0.2633392504321818,695.9550690098695,0.23102099976313184,0.2299170000696904,0.23137500011216616,23008964,111771648,2624.06,0.0,0.0,0.0,17.0,608.0,0.0,,,,,16,10000
0.9,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00404,100,65,1,3000,3,True,True,0.90083,0.45835400032956386,0.5240062500433851,1379.5371179949143,0.4581040002449299,0.4518334999374929,0.46518750014001853,20917240,122142720,8688.526,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.9,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00466,100,65,1,3000,3,True,True,0.90083,0.47358350002468796,0.5399190503794671,1427.4491330106684,0.47312499964391463,0.47243700009858003,0.4753545003950421,41821176,143441920,8688.526,65.0,0.0,167.972,0.0,0.0,0.0,2048,512,0,42,,
0.9,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00551,100,65,1,3000,3,True,True,0.90083,0.5295000000842265,0.5995431001792895,1593.1591460230266,0.5291250004120229,0.5288125003062305,0.5303335001372034,23008964,111771648,8688.526,0.0,0.0,0.0,17.0,2080.0,0.0,,,,,16,10000
0.95,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00405,100,160,1,3000,3,True,True,0.95015,0.9711044999676233,1.0926625006504762,2923.635733010997,0.9716875001686276,0.9651039995333122,0.976458500190347,20917240,122142720,21100.935,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.95,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00470,100,160,1,3000,3,True,True,0.95015,1.0030830003415758,1.128354799993758,3021.4975010139824,1.0010835003413376,1.0008334998019563,1.0056665000774956,41821176,143441920,21100.935,160.0,0.0,409.025,0.0,0.0,0.0,2048,512,0,42,,
0.95,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00557,100,160,1,3000,3,True,True,0.95015,1.1483954995128443,1.2815461504487757,3457.71714901457,1.1509585001476808,1.1429374999352149,1.152687500052707,23008964,111771648,21100.935,0.0,0.0,0.0,17.0,5120.0,0.0,,,,,16,100000
0.99,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00406,100,668,1,3000,3,True,True,0.99003,3.5639369998534676,3.836160449873205,10715.625454991823,3.564687499874708,3.56016650039237,3.5677709997798956,20917240,122142720,86503.784,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.99,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00475,100,668,1,3000,3,True,True,0.99003,3.7208749999990687,3.994416649857157,11173.495683982765,3.720270499798062,3.7197500000729633,3.722707999713748,41821176,143441920,86503.784,668.0,0.0,1682.026,0.0,0.0,0.0,2048,8192,0,42,,
0.99,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00564,100,668,1,3000,3,True,True,0.99003,4.344417000083922,4.6820920002573985,13056.493902013244,4.349750000073982,4.331292000188114,4.349979499693291,23008964,111771648,86503.784,0.0,0.0,0.0,17.0,21376.0,0.0,,,,,16,0
