method,probes,node_budget,explore_probability,seed,measurements,float_recall,binary_recall,ndcg,precision,relevance_recall,candidates,nodes,random_nodes,documents_scored,budget_exhausted,retrieval_p50_ms,retrieval_p95_ms,core_p50_ms,core_p95_ms,native_p50_ms,native_p95_ms,routing_p50_ms,routing_p95_ms,rerank_p50_ms,rerank_p95_ms
ivf/branch,4,512,0.0,42,1944,0.6546296296296296,0.825787037037037,0.3040713024615111,0.08333333333333333,0.35281392133243983,100.0,511.7608024691358,0.0,1643.0586419753085,0.9938271604938271,0.25749998167157173,0.3091543912887573,0.20152097567915916,0.2434935886412859,0.19574999999999998,0.23598755,0.009499955922365189,0.016416748985648155,0.044708140194416046,0.055243493989109986
ivf/branch,4,512,0.1,42,1944,0.6550925925925926,0.8250308641975309,0.30403110099681235,0.08348765432098766,0.35461433285507366,100.0,511.7608024691358,51.126543209876544,1708.2067901234568,0.9938271604938271,0.257270410656929,0.2926354296505451,0.20350003615021706,0.23576598614454267,0.1981455,0.2305,0.009125098586082458,0.010909885168075558,0.04354119300842285,0.04920822102576494
ivf/branch,4,512,0.1,43,1944,0.6558641975308642,0.8243827160493827,0.3042946834680771,0.08348765432098766,0.3537141270937567,100.0,511.7608024691358,51.1712962962963,1704.307098765432,0.9938271604938271,0.26062503457069397,0.301659875549376,0.20587490871548653,0.24073771201074123,0.2004795,0.23548739999999999,0.00925036147236824,0.012916047126054764,0.04404177889227867,0.05195187404751777
ivf/branch,4,512,0.1,44,1944,0.6561728395061728,0.8244598765432098,0.30590505423727254,0.08410493827160494,0.3559260612501353,100.0,511.7608024691358,51.06635802469136,1705.695987654321,0.9938271604938271,0.26404112577438354,0.3114463062956929,0.2085622400045395,0.2449408639222383,0.203083,0.23781524999999998,0.009417068213224411,0.015035970136523243,0.04487484693527222,0.053529161959886544
ivf/branch,16,32,0.0,42,1944,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,1.0,0.028708018362522125,0.031528272666037076,0.018415972590446472,0.02024974673986435,0.014583,0.01625,0.008959323167800903,0.009874813258647919,0.0009173527359962463,0.0010831281542778015
ivf/branch,16,32,0.1,42,1944,0.0,4.6296296296296294e-05,0.0,0.0,0.0,2.587962962962963,32.0,3.146604938271605,2.587962962962963,1.0,0.029792077839374542,0.048535643145442,0.019167084246873856,0.023582950234413147,0.015292,0.01925,0.009125098586082458,0.010499730706214905,0.0009587965905666351,0.014237733557820313
ivf/branch,16,32,0.1,43,1944,0.0,0.0,0.0,0.0,0.0,2.2746913580246915,32.0,3.1481481481481484,2.2746913580246915,1.0,0.02958322875201702,0.04643930587917565,0.019041821360588074,0.02312520518898964,0.0151875,0.018909849999999995,0.009041279554367065,0.010292045772075653,0.0009587965905666351,0.01345272175967693
ivf/branch,16,32,0.1,44,1944,0.0,0.0,0.0,0.0,0.0,2.2824074074074074,32.0,3.1527777777777777,2.2824074074074074,1.0,0.028959009796380997,0.04308377392590046,0.018666964024305344,0.021792016923427582,0.014834,0.017868849999999995,0.00895792618393898,0.009458046406507492,0.0009578652679920197,0.01215972006320953
ivf/branch,16,128,0.0,42,1944,0.000154320987654321,0.00038580246913580245,0.0,0.0,0.0,1.4552469135802468,128.0,0.0,1.6604938271604939,1.0,0.04656263627111912,0.05432674661278724,0.03616698086261749,0.04127325955778359,0.031084,0.035743849999999994,0.009042210876941681,0.010326877236366269,0.0009578652679920197,0.0012498348951339722
ivf/branch,16,128,0.1,42,1944,0.000308641975308642,0.0004475308641975309,0.0,0.0,0.0,42.55864197530864,128.0,12.746913580246913,43.22993827160494,1.0,0.07197889499366283,0.10330809745937584,0.04314561374485493,0.05312496796250343,0.0380415,0.047708,0.009270617738366127,0.009958166629076004,0.019292114302515984,0.04111866001039743
