documents,key_bits,no_strong_coordinate_probability,expected_scored_fraction,mean_modeled_ms,median_modeled_ms,p95_modeled_ms
100000000,2,0.900827205882353,0.9498161764705882,2554.2739316762877,2689.228816507258,2689.228816507258
100000000,3,0.8547218764474294,0.925607468011811,2489.1717569493117,2689.2289761850693,2689.2289761850693
100000000,4,0.81080336105685,0.9019705688837929,2425.6074360942926,2689.2292973635435,2689.2292973635435
100000000,5,0.7689762035420125,0.8788930494413777,2363.547675730417,2689.229943472825,2689.229943472825
100000000,6,0.7291487507689202,0.8563627266415254,2302.9599728158237,2689.2312432663534,2689.2312432663534
100000000,7,0.6912330157289364,0.834367659622444,2243.812724732354,2689.2338580442643,2689.2338580442643
100000000,8,0.6551445450282288,0.8128961453534516,2186.075456509076,2689.2391180039663,2689.2391180039663
100000000,9,0.6208022906517491,0.7919367143545747,2129.719277268998,2689.249698742685,2689.249698742685
100000000,10,0.5881284858806044,0.7714781264848994,2074.71778537772,2689.2709818646504,2689.2709818646504
100000000,11,0.5570485252446375,0.7515093667987065,2021.0488520273245,2689.313791400619,2689.313791400619
100000000,12,0.5274908483949221,0.7320196414684309,1968.698124588405,2689.399897058131,2689.399897058131
100000000,13,0.4993868277837172,0.7129983737735,1917.6658967552669,1344.7945305354,2689.5730815450556
100000000,14,0.47267066004220143,0.6944352001541143,1867.9805694952026,1344.9677150223247,2689.9213968630806
100000000,15,0.44727926094902537,0.6763199663290481,1819.7250132028685,1345.3160303403495,2690.62192018767
100000000,16,0.42315216388538496,0.6586427234765551,1773.0881814790177,1346.016553664939,2692.0307522140233
100000000,17,0.40023142167492665,0.6413937244774814,1728.4661462077622,1347.4253856912924,2694.8639870211246
100000000,18,0.37846151170934483,0.6245634202196927,1686.6598499198262,1350.2586204983934,2700.56159814414
100000000,19,0.3577892442630361,0.6081424559629368,1649.2621181584866,1355.956231621409,2712.0191034078093
100000000,20,0.33816367390261637,0.5921216677632747,1619.4149927458648,1367.4137368850784,2735.058679970431
100000000,21,0.31953601389950614,0.5764920789562211,1603.2916047419737,1390.4533134476999,2781.3869651662417
100000000,22,0.3018595535561292,0.5612448966977471,1612.995507028892,1436.7815986435103,2874.541799699
100000000,23,0.28508957835856646,0.5463715085623106,1672.232840231655,1529.936433176269,3061.8479970467924
100000000,24,0.2691832928707495,0.5318634791970853,1827.4082703163683,1717.2426305240615,3438.4534483069283
500000000,1,0.94921875,0.974609375,13104.667960921637,13446.071669272626,13446.071669272626
500000000,2,0.900827205882353,0.9498161764705882,12771.297356415926,13446.07174868911,13446.07174868911
500000000,3,0.8547218764474294,0.925607468011811,12445.7859072069,13446.071908366921,13446.071908366921
500000000,4,0.81080336105685,0.9019705688837929,12127.963175027964,13446.072229545396,13446.072229545396
500000000,5,0.7689762035420125,0.8788930494413777,11817.662162757653,13446.072875654676,13446.072875654676
500000000,6,0.7291487507689202,0.8563627266415254,11514.719316273695,13446.074175448206,13446.074175448206
500000000,7,0.6912330157289364,0.834367659622444,11218.974586983153,13446.076790226114,13446.076790226114
500000000,8,0.6551445450282288,0.8128961453534516,10930.271612252222,13446.082050185816,13446.082050185816
500000000,9,0.6208022906517491,0.7919367143545747,10648.458125809322,13446.092630924535,13446.092630924535
500000000,10,0.5881284858806044,0.7714781264848994,10373.386817589706,13446.113914046502,13446.113914046502
500000000,11,0.5570485252446375,0.7515093667987065,10104.91707274445,13446.156723582471,13446.156723582471
500000000,12,0.5274908483949221,0.7320196414684309,9842.91843113639,13446.242829239984,13446.242829239984
500000000,13,0.4993868277837172,0.7129983737735,9587.277414337892,6723.215996626325,13446.416013726906
500000000,14,0.47267066004220143,0.6944352001541143,9337.910944131276,6723.389181113249,13446.76432904493
500000000,15,0.44727926094902537,0.6763199663290481,9094.792662902957,6723.737496431275,13447.464852369521
500000000,16,0.42315216388538496,0.6586427234765551,8858.004506340803,6724.438019755864,13448.873684395874
500000000,17,0.40023142167492665,0.6413937244774814,8627.837698099152,6725.8468517822175,13451.706919202976
500000000,18,0.37846151170934483,0.6245634202196927,8404.99046240935,6728.680086589318,13457.404530325992
500000000,19,0.3577892442630361,0.6081424559629368,8190.954997343117,6734.377697712334,13468.862035589662
500000000,20,0.33816367390261637,0.5921216677632747,7988.774769616976,6745.8352029760035,13491.901612152282
500000000,21,0.31953601389950614,0.5764920789562211,7804.526349721021,6768.874779538624,13538.229897348092
500000000,22,0.3018595535561292,0.5612448966977471,7650.2187072951865,6815.203064734435,13631.384731880851
500000000,23,0.28508957835856646,0.5463715085623106,7549.465340455681,6908.357899267194,13818.690929228644
500000000,24,0.2691832928707495,0.5318634791970853,7548.580177403184,7095.664096614986,14195.296380488779
1000000000,1,0.94921875,0.974609375,26209.31791980529,26892.12533449994,26892.12533449994
1000000000,2,0.900827205882353,0.9498161764705882,25542.576637340473,26892.125413916423,26892.125413916423
1000000000,3,0.8547218764474294,0.925607468011811,24891.553595028887,26892.125573594236,26892.125573594236
1000000000,4,0.81080336105685,0.9019705688837929,24255.90784869505,26892.125894772707,26892.125894772707
1000000000,5,0.7689762035420125,0.8788930494413777,23635.3052715417,26892.12654088199,26892.12654088199
1000000000,6,0.7291487507689202,0.8563627266415254,23029.41849559603,26892.127840675515,26892.127840675515
1000000000,7,0.6912330157289364,0.834367659622444,22437.92691479665,26892.13045545343,26892.13045545343
1000000000,8,0.6551445450282288,0.8128961453534516,21860.516806931155,26892.13571541313,26892.13571541313
1000000000,9,0.6208022906517491,0.7919367143545747,21296.88168648473,26892.14629615185,26892.14629615185
1000000000,10,0.5881284858806044,0.7714781264848994,20746.72310785469,26892.167579273813,26892.167579273813
1000000000,11,0.5570485252446375,0.7515093667987065,20209.752348640854,26892.210388809784,26892.210388809784
1000000000,12,0.5274908483949221,0.7320196414684309,19685.69381432137,26892.296494467297,26892.296494467297
1000000000,13,0.4993868277837172,0.7129983737735,19174.291811316176,13446.242829239984,26892.46967895422
1000000000,14,0.47267066004220143,0.6944352001541143,18675.323912426367,13446.416013726906,26892.817994272245
1000000000,15,0.44727926094902537,0.6763199663290481,18188.627225028064,13446.76432904493,26893.518517596833
1000000000,16,0.42315216388538496,0.6586427234765551,17714.149912418034,13447.464852369521,26894.927349623187
1000000000,17,0.40023142167492665,0.6413937244774814,17252.05213796339,13448.873684395874,26897.76058443029
1000000000,18,0.37846151170934483,0.6245634202196927,16802.903728021258,13451.706919202976,26903.458195553303
1000000000,19,0.3577892442630361,0.6081424559629368,16368.071096323903,13457.404530325992,26914.915700816975
1000000000,20,0.33816367390261637,0.5921216677632747,15950.474490705868,13468.862035589662,26937.955277379595
1000000000,21,0.31953601389950614,0.5764920789562211,15556.069780944832,13491.901612152282,26984.28356257541
1000000000,22,0.3018595535561292,0.5612448966977471,15196.747707628054,13538.229897348092,27077.438397108162
1000000000,23,0.28508957835856646,0.5463715085623106,14896.005965735716,13631.384731880851,27264.74459445596
1000000000,24,0.2691832928707495,0.5318634791970853,14700.045061261706,13818.690929228644,27641.350045716095
