documents,dimensions,top_k,ram_gb,branch_scale,method,modeled_ms,expected_matching_rows,expected_prefix_recall,insufficient_probability_upper_log10,leaf_size,break_even_scan_fraction,payload_lower_bytes,planning_index_bytes,scratch_bytes,reserve_bytes,planning_total_bytes,status
500000000,256,100,1000,1,scan_prefix,1.6982291710977344,61035.15625,1.0,-13210.655496444082,0,0.004110321331385025,20000000000,24004194304,65536,1000000000.0,25004259840.0,modeled_fit
500000000,256,100,1000,1,keys,1.6963859673072486,61035.15625,1.0,-13210.655496444082,0,0.004110321331385025,20000000000,24000655872,65536,1000000000.0,25000721408.0,modeled_fit
500000000,256,100,1000,1,branch,50.81784096546471,61035.15625,1.0,-13210.655496444082,80000,0.004110321331385025,36000000000,40000000512,937500000,1000000000.0,41937500512.0,modeled_fit
500000000,256,100,1000,1,branch_prefix,1.6526644886018607,61035.15625,1.0,-13210.655496444082,122071,0.004110321331385025,36000000000,40020969472,80800,1000000000.0,41021050272.0,modeled_fit
500000000,256,100,32,2,scan_all,12363.471580053085,61035.15625,1.0,-13210.655496444082,0,0.008216858061495325,20000000000,24000000512,65536,1000000000.0,25000066048.0,modeled_fit
500000000,256,100,32,2,scan_prefix,1.6982291710977344,61035.15625,1.0,-13210.655496444082,0,0.008216858061495325,20000000000,24004194304,65536,1000000000.0,25004259840.0,modeled_fit
500000000,256,100,32,2,keys,1.6963859673072486,61035.15625,1.0,-13210.655496444082,0,0.008216858061495325,20000000000,24000655872,65536,1000000000.0,25000721408.0,modeled_fit
500000000,256,100,32,2,branch,101.58889112062752,61035.15625,1.0,-13210.655496444082,80000,0.008216858061495325,36000000000,40000000512,937500000,1000000000.0,41937500512.0,payload_exceeds_budget
500000000,256,100,32,2,branch_prefix,1.6526644886018607,61035.15625,1.0,-13210.655496444082,122071,0.008216858061495325,36000000000,40020969472,80800,1000000000.0,41021050272.0,payload_exceeds_budget
500000000,256,100,64,2,scan_all,12363.471580053085,61035.15625,1.0,-13210.655496444082,0,0.008216858061495325,20000000000,24000000512,65536,1000000000.0,25000066048.0,modeled_fit
500000000,256,100,64,2,scan_prefix,1.6982291710977344,61035.15625,1.0,-13210.655496444082,0,0.008216858061495325,20000000000,24004194304,65536,1000000000.0,25004259840.0,modeled_fit
500000000,256,100,64,2,keys,1.6963859673072486,61035.15625,1.0,-13210.655496444082,0,0.008216858061495325,20000000000,24000655872,65536,1000000000.0,25000721408.0,modeled_fit
500000000,256,100,64,2,branch,101.58889112062752,61035.15625,1.0,-13210.655496444082,80000,0.008216858061495325,36000000000,40000000512,937500000,1000000000.0,41937500512.0,modeled_fit
500000000,256,100,64,2,branch_prefix,1.6526644886018607,61035.15625,1.0,-13210.655496444082,122071,0.008216858061495325,36000000000,40020969472,80800,1000000000.0,41021050272.0,modeled_fit
500000000,256,100,1000,2,scan_all,12363.471580053085,61035.15625,1.0,-13210.655496444082,0,0.008216858061495325,20000000000,24000000512,65536,1000000000.0,25000066048.0,modeled_fit
500000000,256,100,1000,2,scan_prefix,1.6982291710977344,61035.15625,1.0,-13210.655496444082,0,0.008216858061495325,20000000000,24004194304,65536,1000000000.0,25004259840.0,modeled_fit
500000000,256,100,1000,2,keys,1.6963859673072486,61035.15625,1.0,-13210.655496444082,0,0.008216858061495325,20000000000,24000655872,65536,1000000000.0,25000721408.0,modeled_fit
500000000,256,100,1000,2,branch,101.58889112062752,61035.15625,1.0,-13210.655496444082,80000,0.008216858061495325,36000000000,40000000512,937500000,1000000000.0,41937500512.0,modeled_fit
500000000,256,100,1000,2,branch_prefix,1.6526644886018607,61035.15625,1.0,-13210.655496444082,122071,0.008216858061495325,36000000000,40020969472,80800,1000000000.0,41021050272.0,modeled_fit
1000000000,256,100,32,1,scan_all,24726.94316010617,122070.3125,1.0,-26464.25384247616,0,0.0041084290307476625,40000000000,48000000512,65536,1000000000.0,49000066048.0,payload_exceeds_budget
1000000000,256,100,32,1,scan_prefix,3.3456310397680715,122070.3125,1.0,-26464.25384247616,0,0.0041084290307476625,40000000000,48004194304,65536,1000000000.0,49004259840.0,payload_exceeds_budget
1000000000,256,100,32,1,keys,3.3437878359775857,122070.3125,1.0,-26464.25384247616,0,0.0041084290307476625,40000000000,48000655872,65536,1000000000.0,49000721408.0,payload_exceeds_budget
1000000000,256,100,32,1,branch,101.58889112062752,122070.3125,1.0,-26464.25384247616,160000,0.0041084290307476625,72000000000,80000000512,1875000000,1000000000.0,82875000512.0,payload_exceeds_budget
1000000000,256,100,32,1,branch_prefix,3.2558173806031534,122070.3125,1.0,-26464.25384247616,244141,0.0041084290307476625,72000000000,80020969472,96056,1000000000.0,81021065528.0,payload_exceeds_budget
1000000000,256,100,64,1,scan_all,24726.94316010617,122070.3125,1.0,-26464.25384247616,0,0.0041084290307476625,40000000000,48000000512,65536,1000000000.0,49000066048.0,modeled_fit
1000000000,256,100,64,1,scan_prefix,3.3456310397680715,122070.3125,1.0,-26464.25384247616,0,0.0041084290307476625,40000000000,48004194304,65536,1000000000.0,49004259840.0,modeled_fit
1000000000,256,100,64,1,keys,3.3437878359775857,122070.3125,1.0,-26464.25384247616,0,0.0041084290307476625,40000000000,48000655872,65536,1000000000.0,49000721408.0,modeled_fit
1000000000,256,100,64,1,branch,101.58889112062752,122070.3125,1.0,-26464.25384247616,160000,0.0041084290307476625,72000000000,80000000512,1875000000,1000000000.0,82875000512.0,payload_exceeds_budget
1000000000,256,100,64,1,branch_prefix,3.2558173806031534,122070.3125,1.0,-26464.25384247616,244141,0.0041084290307476625,72000000000,80020969472,96056,1000000000.0,81021065528.0,payload_exceeds_budget
1000000000,256,100,1000,1,scan_all,24726.94316010617,122070.3125,1.0,-26464.25384247616,0,0.0041084290307476625,40000000000,48000000512,65536,1000000000.0,49000066048.0,modeled_fit
1000000000,256,100,1000,1,scan_prefix,3.3456310397680715,122070.3125,1.0,-26464.25384247616,0,0.0041084290307476625,40000000000,48004194304,65536,1000000000.0,49004259840.0,modeled_fit
1000000000,256,100,1000,1,keys,3.3437878359775857,122070.3125,1.0,-26464.25384247616,0,0.0041084290307476625,40000000000,48000655872,65536,1000000000.0,49000721408.0,modeled_fit
1000000000,256,100,1000,1,branch,101.58889112062752,122070.3125,1.0,-26464.25384247616,160000,0.0041084290307476625,72000000000,80000000512,1875000000,1000000000.0,82875000512.0,modeled_fit
1000000000,256,100,1000,1,branch_prefix,3.2558173806031534,122070.3125,1.0,-26464.25384247616,244141,0.0041084290307476625,72000000000,80020969472,96056,1000000000.0,81021065528.0,modeled_fit
1000000000,256,100,32,2,scan_all,24726.94316010617,122070.3125,1.0,-26464.25384247616,0,0.008214965760857961,40000000000,48000000512,65536,1000000000.0,49000066048.0,payload_exceeds_budget
1000000000,256,100,32,2,scan_prefix,3.3456310397680715,122070.3125,1.0,-26464.25384247616,0,0.008214965760857961,40000000000,48004194304,65536,1000000000.0,49004259840.0,payload_exceeds_budget
1000000000,256,100,32,2,keys,3.3437878359775857,122070.3125,1.0,-26464.25384247616,0,0.008214965760857961,40000000000,48000655872,65536,1000000000.0,49000721408.0,payload_exceeds_budget
1000000000,256,100,32,2,branch,203.13099143095315,122070.3125,1.0,-26464.25384247616,160000,0.008214965760857961,72000000000,80000000512,1875000000,1000000000.0,82875000512.0,payload_exceeds_budget
1000000000,256,100,32,2,branch_prefix,3.2558173806031534,122070.3125,1.0,-26464.25384247616,244141,0.008214965760857961,72000000000,80020969472,96056,1000000000.0,81021065528.0,payload_exceeds_budget
1000000000,256,100,64,2,scan_all,24726.94316010617,122070.3125,1.0,-26464.25384247616,0,0.008214965760857961,40000000000,48000000512,65536,1000000000.0,49000066048.0,modeled_fit
1000000000,256,100,64,2,scan_prefix,3.3456310397680715,122070.3125,1.0,-26464.25384247616,0,0.008214965760857961,40000000000,48004194304,65536,1000000000.0,49004259840.0,modeled_fit
1000000000,256,100,64,2,keys,3.3437878359775857,122070.3125,1.0,-26464.25384247616,0,0.008214965760857961,40000000000,48000655872,65536,1000000000.0,49000721408.0,modeled_fit
1000000000,256,100,64,2,branch,203.13099143095315,122070.3125,1.0,-26464.25384247616,160000,0.008214965760857961,72000000000,80000000512,1875000000,1000000000.0,82875000512.0,payload_exceeds_budget
1000000000,256,100,64,2,branch_prefix,3.2558173806031534,122070.3125,1.0,-26464.25384247616,244141,0.008214965760857961,72000000000,80020969472,96056,1000000000.0,81021065528.0,payload_exceeds_budget
1000000000,256,100,1000,2,scan_all,24726.94316010617,122070.3125,1.0,-26464.25384247616,0,0.008214965760857961,40000000000,48000000512,65536,1000000000.0,49000066048.0,modeled_fit
1000000000,256,100,1000,2,scan_prefix,3.3456310397680715,122070.3125,1.0,-26464.25384247616,0,0.008214965760857961,40000000000,48004194304,65536,1000000000.0,49004259840.0,modeled_fit
1000000000,256,100,1000,2,keys,3.3437878359775857,122070.3125,1.0,-26464.25384247616,0,0.008214965760857961,40000000000,48000655872,65536,1000000000.0,49000721408.0,modeled_fit
1000000000,256,100,1000,2,branch,203.13099143095315,122070.3125,1.0,-26464.25384247616,160000,0.008214965760857961,72000000000,80000000512,1875000000,1000000000.0,82875000512.0,modeled_fit
1000000000,256,100,1000,2,branch_prefix,3.2558173806031534,122070.3125,1.0,-26464.25384247616,244141,0.008214965760857961,72000000000,80020969472,96056,1000000000.0,81021065528.0,modeled_fit
