method,probes,node_budget,explore_probability,seed,original_p50_ms,power_rerun_p50_ms,clean_p50_ms,clean_vs_original_ratio,clean_vs_power_ratio,float_recall,ndcg
ivf/branch,16,512,0.1,42,0.23235450498759747,0.16510416753590107,0.15512481331825256,0.6676212855289066,0.9395572239841944,0.2762345679012346,0.17460529786939152
ivf/branch,16,512,0.1,43,0.24089589715003967,0.17595873214304447,0.1566670835018158,0.6503518131910616,0.8903626526159233,0.27685185185185185,0.17115911337408143
ivf/branch,16,512,0.1,44,0.23527047596871853,0.16918731853365898,0.1575211063027382,0.6695319744398449,0.9310455870331684,0.27361111111111114,0.16801539572768087
ivf/float,1,0,0.0,42,0.0900421291589737,0.06720796227455139,0.0663544051349163,0.7369262117043504,0.9872997616540103,0.48750000000000004,0.2162707754312781
ivf/float,4,0,0.0,42,0.15268800780177116,0.11112494394183159,0.10833307169377804,0.7095060918891718,0.9748762775573147,0.816820987654321,0.31691604825374203
ivf/float,16,0,0.0,42,0.37225009873509407,0.26258337311446667,0.2590420190244913,0.6958816663977153,0.986513410777035,0.9640432098765431,0.3654304012429996
ivf/scan,1,0,0.0,42,0.11814525350928307,0.08422951214015484,0.08312519639730453,0.7035847308988432,0.9868892064694289,0.45941358024691353,0.2148282251723496
ivf/scan,4,0,0.0,42,0.2466461155563593,0.16975007019937038,0.16272906213998795,0.6597673828064157,0.9586391448843803,0.7118827160493828,0.31386037952179
ivf/scan,16,0,0.0,42,0.6776039954274893,0.46402052976191044,0.4603336565196514,0.6793549914492969,0.9920545040450026,0.7933641975308642,0.35425023923909316
sign/branch,1,32,0.0,42,0.040708575397729874,0.027771107852458954,0.02931244671344757,0.7200558218277073,1.0555015258727656,0.028703703703703703,0.027188942973722974
sign/branch,1,32,0.1,42,0.04904158413410187,0.03410433419048786,0.034479424357414246,0.7030650613392078,1.010998313728435,0.021604938271604937,0.0196227814691723
sign/branch,1,32,0.1,43,0.04922924563288689,0.033250078558921814,0.03374996595084667,0.685567400372686,1.0150341717550837,0.02052469135802469,0.016956705593080216
sign/branch,1,32,0.1,44,0.04733307287096977,0.032875221222639084,0.033082906156778336,0.6989384831819926,1.0063173699344183,0.02021604938271605,0.017533635634100663
sign/branch,1,128,0.0,42,0.12147938832640648,0.08193729445338249,0.08252076804637909,0.6792985146142788,1.0071209770457892,0.12669753086419755,0.08474027201617751
sign/branch,1,128,0.1,42,0.12158369645476341,0.08389563299715519,0.08412497118115425,0.6919099651856192,1.002733612892662,0.12608024691358025,0.08435564414728422
sign/branch,1,128,0.1,43,0.12214574962854385,0.08470797911286354,0.08789566345512867,0.7195965780424389,1.037631453089182,0.1263888888888889,0.08456545931012581
sign/branch,1,128,0.1,44,0.12481235899031162,0.08408352732658386,0.08429214358329773,0.6753509369199631,1.0024810597669576,0.12669753086419755,0.08491218655002324
sign/branch,1,512,0.0,42,0.19756238907575607,0.14210352674126625,0.13681291602551937,0.69250486727541,0.9627693215145905,0.14907407407407408,0.09089426867368369
sign/branch,1,512,0.1,42,0.20241597667336464,0.13752072118222713,0.13922899961471558,0.6878360191863073,1.0124219711604394,0.14891975308641975,0.09090804876038136
sign/branch,1,512,0.1,43,0.20087510347366333,0.13677054084837437,0.14114589430391788,0.7026549923964245,1.0319904668681108,0.1493827160493827,0.09070750391564021
sign/branch,1,512,0.1,44,0.19977102056145668,0.13899942860007286,0.14039571397006512,0.7027831843451708,1.0100452597831149,0.14907407407407408,0.09093024218255903
sign/branch,4,32,0.0,42,0.029291026294231415,0.01904228702187538,0.01941574737429619,0.6628565069473149,1.0196121585601448,0.0030864197530864196,0.002665573266385533
sign/branch,4,32,0.1,42,0.03754207864403725,0.025187619030475616,0.024750130251049995,0.6592637154091365,0.9826308005176557,0.0030864197530864196,0.002658018116317088
sign/branch,4,32,0.1,43,0.036957673728466034,0.02541579306125641,0.02422928810119629,0.655595595091097,0.9533162330524001,0.002469135802469136,0.0019413777015356002
sign/branch,4,32,0.1,44,0.03658374771475792,0.024291686713695526,0.02314569428563118,0.6326769598920612,0.9528236782578691,0.002777777777777778,0.002665573266385533
sign/branch,4,128,0.0,42,0.1130211167037487,0.07899990305304527,0.0780206173658371,0.690318938985048,0.9876039634308079,0.14382716049382718,0.11634131666298549
sign/branch,4,128,0.1,42,0.11408352293074131,0.0813119113445282,0.0808334443718195,0.7085461799851016,0.9941156595042837,0.1132716049382716,0.09095515754995523
sign/branch,4,128,0.1,43,0.1127505674958229,0.08095800876617432,0.07841642946004868,0.6954858960062776,0.9686062028345297,0.1125,0.08967631609122888
sign/branch,4,128,0.1,44,0.11516595259308815,0.07979199290275574,0.0804790761321783,0.6988096248943664,1.0086109295485317,0.11080246913580247,0.08810238101592423
sign/branch,4,512,0.0,42,0.27935393154621124,0.18445821478962898,0.17210445366799831,0.6160802989791768,0.9330267771716219,0.3547839506172839,0.21022742840264716
sign/branch,4,512,0.1,42,0.27893693186342716,0.1801038160920143,0.179290771484375,0.6427645499885227,0.9954856891692737,0.35478395061728396,0.21155909144358917
sign/branch,4,512,0.1,43,0.2802703529596329,0.18014619126915932,0.18189544789493084,0.6489999601246769,1.0097102059912992,0.35370370370370374,0.21017121846599465
sign/branch,4,512,0.1,44,0.2753960434347391,0.18056202679872513,0.1780628226697445,0.6465700104073581,0.9861587501353951,0.35524691358024685,0.21103423389459258
sign/branch,16,32,0.0,42,0.03297952935099602,0.023395521566271782,0.022124964743852615,0.6708696327464242,0.9456923061612412,0.0026234567901234573,0.005149285120577608
sign/branch,16,32,0.1,42,0.03900006413459778,0.02889544703066349,0.024354085326194763,0.6244626993982233,0.8428346964264131,0.0026234567901234573,0.005149285120577608
sign/branch,16,32,0.1,43,0.036561861634254456,0.028270762413740158,0.024145934730768204,0.6604131641958327,0.8540956334107492,0.0026234567901234573,0.005149285120577608
sign/branch,16,32,0.1,44,0.03662519156932831,0.02972944639623165,0.024187611415982246,0.6604091440777095,0.813591046856767,0.0026234567901234573,0.005149285120577608
sign/branch,16,128,0.0,42,0.06587523967027664,0.04681246355175972,0.042166560888290405,0.6400972671878755,0.9007550060181639,0.011882716049382716,0.012536549080293974
sign/branch,16,128,0.1,42,0.0899583101272583,0.06677117198705673,0.061604660004377365,0.6848134421070068,0.9226236139200781,0.008487654320987654,0.009597446096004523
sign/branch,16,128,0.1,43,0.09037507697939873,0.06952066905796528,0.062375329434871674,0.6901828636792234,0.8972199243776563,0.010030864197530864,0.011328576444688352
sign/branch,16,128,0.1,44,0.08850009180605412,0.072479248046875,0.060770660638809204,0.6866734191868037,0.8384560032894737,0.00972222222222222,0.012128787134729303
sign/branch,16,512,0.0,42,0.2610418014228344,0.20070793107151985,0.16929209232330322,0.648524839319066,0.8434748513399704,0.4223765432098765,0.24890919541460388
sign/branch,16,512,0.1,42,0.2690209075808525,0.20608305931091309,0.17418758943676949,0.6474871823277101,0.845230025307303,0.36666666666666664,0.2270948012088234
sign/branch,16,512,0.1,43,0.2695205621421337,0.2041878178715706,0.18137507140636444,0.6729544861616715,0.8882756733334853,0.36234567901234566,0.22392722958680683
