top_k,depth,queries,local_recall,global_recall,documents_scored,new_documents_scored,prefix_lookups,new_prefix_lookups,fraction_bound_allows_stop
3,31,1000,0.04399999999999998,0.04399999999999998,0.182,0.044,312.0,156.0,0.013
3,32,1000,0.03999999999999998,0.03999999999999998,0.138,0.138,156.0,156.0,0.012
5,0,1000,1.0,0.9819999999999989,41147.48,16748.846,4992.0,0.0,1.0
5,1,1000,0.8871999999999988,0.8721999999999988,24398.634,8714.49,4992.0,156.0,0.401
5,2,1000,0.7681999999999995,0.7565999999999994,15684.144,759.203,4836.0,156.0,0.208
5,3,1000,0.7249999999999996,0.7139999999999993,14924.941,5127.613,4680.0,156.0,0.012
5,4,1000,0.6711999999999996,0.6615999999999995,9797.328,3250.508,4524.0,156.0,0.01
5,5,1000,0.5891999999999998,0.5816,6546.82,1617.645,4368.0,156.0,0.009
5,6,1000,0.5511999999999998,0.5450000000000002,4929.175,1986.358,4212.0,156.0,0.008
5,7,1000,0.4894,0.484,2942.817,1172.65,4056.0,156.0,0.007
5,8,1000,0.4293999999999995,0.42459999999999953,1770.167,601.909,3900.0,156.0,0.007
5,9,1000,0.3793999999999991,0.3751999999999992,1168.258,460.436,3744.0,156.0,0.007
5,10,1000,0.342599999999999,0.33859999999999896,707.822,276.216,3588.0,156.0,0.007
5,11,1000,0.29939999999999917,0.2959999999999992,431.606,176.29,3432.0,156.0,0.006
5,12,1000,0.26899999999999935,0.2663999999999993,255.316,97.987,3276.0,156.0,0.006
5,13,1000,0.2359999999999996,0.2341999999999996,157.329,1.138,3120.0,156.0,0.005
5,14,1000,0.2335999999999996,0.23179999999999965,156.191,0.36,2964.0,156.0,0.005
5,15,1000,0.23279999999999965,0.23099999999999965,155.831,48.832,2808.0,156.0,0.005
5,16,1000,0.20439999999999964,0.20319999999999963,106.999,28.894,2652.0,156.0,0.005
5,17,1000,0.19019999999999979,0.18919999999999979,78.105,30.937,2496.0,156.0,0.005
5,18,1000,0.16960000000000008,0.16860000000000006,47.168,13.117,2340.0,156.0,0.005
5,19,1000,0.15680000000000024,0.1560000000000002,34.051,13.462,2184.0,156.0,0.005
5,20,1000,0.1356000000000004,0.13500000000000037,20.589,7.786,2028.0,156.0,0.005
5,21,1000,0.12020000000000038,0.11980000000000036,12.803,5.368,1872.0,156.0,0.005
5,22,1000,0.10120000000000028,0.10120000000000028,7.435,2.879,1716.0,156.0,0.004
5,23,1000,0.09000000000000022,0.09000000000000022,4.556,1.306,1560.0,156.0,0.004
5,24,1000,0.07880000000000018,0.07880000000000018,3.25,1.151,1404.0,156.0,0.004
5,25,1000,0.06880000000000011,0.06880000000000011,2.099,0.808,1248.0,156.0,0.004
5,26,1000,0.058200000000000085,0.058200000000000085,1.291,0.431,1092.0,156.0,0.004
5,27,1000,0.05080000000000005,0.05080000000000005,0.86,0.223,936.0,156.0,0.004
5,28,1000,0.04600000000000001,0.04600000000000001,0.637,0.23,780.0,156.0,0.004
5,29,1000,0.039999999999999994,0.039999999999999994,0.407,0.14,624.0,156.0,0.004
5,30,1000,0.03259999999999995,0.03259999999999995,0.267,0.085,468.0,156.0,0.003
5,31,1000,0.02879999999999996,0.02879999999999996,0.182,0.044,312.0,156.0,0.003
5,32,1000,0.02579999999999997,0.02579999999999997,0.138,0.138,156.0,156.0,0.003
10,0,1000,1.0,0.979799999999998,41147.48,16748.846,4992.0,0.0,1.0
10,1,1000,0.8711999999999984,0.8553999999999977,24398.634,8714.49,4992.0,156.0,0.305
10,2,1000,0.741099999999999,0.7288999999999988,15684.144,759.203,4836.0,156.0,0.13
10,3,1000,0.7001999999999994,0.6884999999999992,14924.941,5127.613,4680.0,156.0,0.004
10,4,1000,0.6396000000000002,0.6292000000000002,9797.328,3250.508,4524.0,156.0,0.004
10,5,1000,0.548400000000001,0.5400000000000009,6546.82,1617.645,4368.0,156.0,0.004
10,6,1000,0.5090000000000001,0.5014000000000002,4929.175,1986.358,4212.0,156.0,0.003
10,7,1000,0.4465999999999997,0.4399999999999999,2942.817,1172.65,4056.0,156.0,0.003
10,8,1000,0.3850999999999999,0.3794999999999998,1770.167,601.909,3900.0,156.0,0.003
10,9,1000,0.33579999999999977,0.33159999999999984,1168.258,460.436,3744.0,156.0,0.003
10,10,1000,0.2975999999999996,0.2939999999999995,707.822,276.216,3588.0,156.0,0.003
10,11,1000,0.2536999999999993,0.2510999999999993,431.606,176.29,3432.0,156.0,0.003
10,12,1000,0.22539999999999952,0.22349999999999945,255.316,97.987,3276.0,156.0,0.002
10,13,1000,0.19389999999999935,0.19219999999999937,157.329,1.138,3120.0,156.0,0.002
10,14,1000,0.1918999999999994,0.19019999999999937,156.191,0.36,2964.0,156.0,0.002
10,15,1000,0.19129999999999941,0.18959999999999935,155.831,48.832,2808.0,156.0,0.002
10,16,1000,0.16479999999999947,0.1634999999999995,106.999,28.894,2652.0,156.0,0.002
10,17,1000,0.1500999999999995,0.14919999999999953,78.105,30.937,2496.0,156.0,0.002
10,18,1000,0.1309999999999996,0.1302999999999996,47.168,13.117,2340.0,156.0,0.002
10,19,1000,0.12089999999999981,0.12019999999999981,34.051,13.462,2184.0,156.0,0.002
10,20,1000,0.10089999999999985,0.10039999999999985,20.589,7.786,2028.0,156.0,0.002
10,21,1000,0.08670000000000001,0.08640000000000002,12.803,5.368,1872.0,156.0,0.002
10,22,1000,0.07180000000000011,0.07160000000000011,7.435,2.879,1716.0,156.0,0.002
10,23,1000,0.06160000000000016,0.06140000000000016,4.556,1.306,1560.0,156.0,0.002
10,24,1000,0.05150000000000015,0.051300000000000144,3.25,1.151,1404.0,156.0,0.002
10,25,1000,0.0437000000000001,0.04350000000000011,2.099,0.808,1248.0,156.0,0.002
10,26,1000,0.036600000000000056,0.036600000000000056,1.291,0.431,1092.0,156.0,0.002
10,27,1000,0.031200000000000037,0.031200000000000037,0.86,0.223,936.0,156.0,0.002
10,28,1000,0.02760000000000003,0.02760000000000003,0.637,0.23,780.0,156.0,0.002
10,29,1000,0.02300000000000001,0.02300000000000001,0.407,0.14,624.0,156.0,0.002
10,30,1000,0.017999999999999985,0.017999999999999985,0.267,0.085,468.0,156.0,0.001
10,31,1000,0.015599999999999982,0.015599999999999982,0.182,0.044,312.0,156.0,0.001
10,32,1000,0.013499999999999983,0.013499999999999983,0.138,0.138,156.0,156.0,0.001
20,0,1000,1.0,0.974300000000003,41147.48,16748.846,4992.0,0.0,1.0
20,1,1000,0.8579500000000014,0.8376000000000017,24398.634,8714.49,4992.0,156.0,0.228
20,2,1000,0.7169500000000004,0.7004000000000006,15684.144,759.203,4836.0,156.0,0.07
20,3,1000,0.6781,0.6622000000000003,14924.941,5127.613,4680.0,156.0,0.0
20,4,1000,0.6122499999999995,0.5978499999999999,9797.328,3250.508,4524.0,156.0,0.0
20,5,1000,0.5179999999999993,0.5064999999999995,6546.82,1617.645,4368.0,156.0,0.0
20,6,1000,0.4768999999999996,0.4665999999999996,4929.175,1986.358,4212.0,156.0,0.0
20,7,1000,0.41135000000000027,0.4027500000000004,2942.817,1172.65,4056.0,156.0,0.0
20,8,1000,0.34665000000000007,0.33974999999999994,1770.167,601.909,3900.0,156.0,0.0
20,9,1000,0.2971,0.29134999999999994,1168.258,460.436,3744.0,156.0,0.0
20,10,1000,0.2590500000000001,0.25405000000000005,707.822,276.216,3588.0,156.0,0.0
20,11,1000,0.21570000000000036,0.2118000000000003,431.606,176.29,3432.0,156.0,0.0
20,12,1000,0.1867999999999999,0.1834499999999998,255.316,97.987,3276.0,156.0,0.0
20,13,1000,0.15704999999999972,0.15424999999999972,157.329,1.138,3120.0,156.0,0.0
20,14,1000,0.15559999999999974,0.15284999999999963,156.191,0.36,2964.0,156.0,0.0
20,15,1000,0.15504999999999972,0.15229999999999963,155.831,48.832,2808.0,156.0,0.0
20,16,1000,0.13064999999999963,0.12864999999999965,106.999,28.894,2652.0,156.0,0.0
20,17,1000,0.11764999999999967,0.11599999999999969,78.105,30.937,2496.0,156.0,0.0
20,18,1000,0.1008499999999997,0.0995999999999997,47.168,13.117,2340.0,156.0,0.0
20,19,1000,0.0918999999999997,0.0907999999999997,34.051,13.462,2184.0,156.0,0.0
20,20,1000,0.07514999999999979,0.07434999999999979,20.589,7.786,2028.0,156.0,0.0
20,21,1000,0.0637499999999999,0.06319999999999991,12.803,5.368,1872.0,156.0,0.0
20,22,1000,0.05204999999999992,0.05189999999999993,7.435,2.879,1716.0,156.0,0.0
20,23,1000,0.04394999999999998,0.04384999999999998,4.556,1.306,1560.0,156.0,0.0
20,24,1000,0.03565000000000003,0.035550000000000026,3.25,1.151,1404.0,156.0,0.0
20,25,1000,0.02940000000000007,0.029350000000000074,2.099,0.808,1248.0,156.0,0.0
20,26,1000,0.02345000000000006,0.023400000000000063,1.291,0.431,1092.0,156.0,0.0
20,27,1000,0.018850000000000037,0.01880000000000004,0.86,0.223,936.0,156.0,0.0
20,28,1000,0.016200000000000016,0.016150000000000015,0.637,0.23,780.0,156.0,0.0
20,29,1000,0.01275000000000001,0.01275000000000001,0.407,0.14,624.0,156.0,0.0
20,30,1000,0.009849999999999994,0.009849999999999994,0.267,0.085,468.0,156.0,0.0
20,31,1000,0.008399999999999989,0.008399999999999989,0.182,0.044,312.0,156.0,0.0
20,32,1000,0.006899999999999991,0.006899999999999991,0.138,0.138,156.0,156.0,0.0
50,0,1000,1.0,0.9665800000000045,41147.48,16748.846,4992.0,0.0,1.0
50,1,1000,0.8413800000000021,0.814680000000002,24398.634,8714.49,4992.0,156.0,0.143
50,2,1000,0.6881400000000011,0.6668800000000009,15684.144,759.203,4836.0,156.0,0.033
50,3,1000,0.6501800000000013,0.6298200000000003,14924.941,5127.613,4680.0,156.0,0.0
50,4,1000,0.5751400000000007,0.5578799999999999,9797.328,3250.508,4524.0,156.0,0.0
50,5,1000,0.47448,0.46051999999999954,6546.82,1617.645,4368.0,156.0,0.0
50,6,1000,0.42965999999999993,0.41724,4929.175,1986.358,4212.0,156.0,0.0
50,7,1000,0.3590600000000002,0.34952000000000033,2942.817,1172.65,4056.0,156.0,0.0
50,8,1000,0.29351999999999984,0.28600000000000014,1770.167,601.909,3900.0,156.0,0.0
50,9,1000,0.24516000000000043,0.23894000000000057,1168.258,460.436,3744.0,156.0,0.0
50,10,1000,0.20770000000000027,0.20272000000000032,707.822,276.216,3588.0,156.0,0.0
50,11,1000,0.16810000000000014,0.1640800000000004,431.606,176.29,3432.0,156.0,0.0
50,12,1000,0.13874000000000028,0.1359000000000004,255.316,97.987,3276.0,156.0,0.0
50,13,1000,0.11252000000000008,0.11046000000000011,157.329,1.138,3120.0,156.0,0.0
50,14,1000,0.11138000000000006,0.10932000000000011,156.191,0.36,2964.0,156.0,0.0
50,15,1000,0.11096000000000006,0.1089000000000001,155.831,48.832,2808.0,156.0,0.0
50,16,1000,0.0913000000000002,0.08974000000000021,106.999,28.894,2652.0,156.0,0.0
50,17,1000,0.08102000000000015,0.07978000000000016,78.105,30.937,2496.0,156.0,0.0
50,18,1000,0.06722000000000011,0.0662800000000001,47.168,13.117,2340.0,156.0,0.0
50,19,1000,0.06002000000000006,0.05918000000000005,34.051,13.462,2184.0,156.0,0.0
50,20,1000,0.046899999999999935,0.046479999999999924,20.589,7.786,2028.0,156.0,0.0
50,21,1000,0.0387599999999999,0.0384799999999999,12.803,5.368,1872.0,156.0,0.0
50,22,1000,0.03013999999999983,0.029979999999999833,7.435,2.879,1716.0,156.0,0.0
50,23,1000,0.024219999999999867,0.024139999999999866,4.556,1.306,1560.0,156.0,0.0
50,24,1000,0.0193199999999999,0.0192999999999999,3.25,1.151,1404.0,156.0,0.0
50,25,1000,0.015419999999999932,0.015399999999999931,2.099,0.808,1248.0,156.0,0.0
50,26,1000,0.011599999999999949,0.011599999999999949,1.291,0.431,1092.0,156.0,0.0
50,27,1000,0.008979999999999965,0.008979999999999965,0.86,0.223,936.0,156.0,0.0
50,28,1000,0.007319999999999981,0.007319999999999981,0.637,0.23,780.0,156.0,0.0
50,29,1000,0.005499999999999991,0.005499999999999991,0.407,0.14,624.0,156.0,0.0
50,30,1000,0.004140000000000001,0.004140000000000001,0.267,0.085,468.0,156.0,0.0
50,31,1000,0.003440000000000002,0.003440000000000002,0.182,0.044,312.0,156.0,0.0
50,32,1000,0.0027600000000000016,0.0027600000000000016,0.138,0.138,156.0,156.0,0.0
100,0,1000,1.0,0.9568000000000049,41147.48,16748.846,4992.0,0.0,1.0
100,1,1000,0.823360000000002,0.7895200000000012,24398.634,8714.49,4992.0,156.0,0.081
100,2,1000,0.6616000000000002,0.6352200000000006,15684.144,759.203,4836.0,156.0,0.018
100,3,1000,0.6254199999999995,0.6005299999999999,14924.941,5127.613,4680.0,156.0,0.0
100,4,1000,0.54289,0.5225199999999998,9797.328,3250.508,4524.0,156.0,0.0
100,5,1000,0.44139999999999974,0.4251599999999997,6546.82,1617.645,4368.0,156.0,0.0
100,6,1000,0.39649000000000034,0.3821700000000004,4929.175,1986.358,4212.0,156.0,0.0
100,7,1000,0.32398999999999983,0.31305000000000055,2942.817,1172.65,4056.0,156.0,0.0
100,8,1000,0.2604099999999997,0.2517299999999997,1770.167,601.909,3900.0,156.0,0.0
100,9,1000,0.21401000000000023,0.2071800000000001,1168.258,460.436,3744.0,156.0,0.0
100,10,1000,0.17755999999999997,0.1724599999999999,707.822,276.216,3588.0,156.0,0.0
100,11,1000,0.13960000000000009,0.1358699999999999,431.606,176.29,3432.0,156.0,0.0
100,12,1000,0.11293000000000018,0.11003000000000017,255.316,97.987,3276.0,156.0,0.0
100,13,1000,0.08928000000000023,0.08701000000000018,157.329,1.138,3120.0,156.0,0.0
100,14,1000,0.08853000000000023,0.08627000000000017,156.191,0.36,2964.0,156.0,0.0
100,15,1000,0.0882100000000002,0.08597000000000019,155.831,48.832,2808.0,156.0,0.0
100,16,1000,0.07100000000000013,0.06941000000000012,106.999,28.894,2652.0,156.0,0.0
100,17,1000,0.062130000000000095,0.06076000000000011,78.105,30.937,2496.0,156.0,0.0
100,18,1000,0.05018000000000006,0.04902000000000011,47.168,13.117,2340.0,156.0,0.0
100,19,1000,0.04437000000000011,0.04337000000000012,34.051,13.462,2184.0,156.0,0.0
100,20,1000,0.03351000000000003,0.03287000000000001,20.589,7.786,2028.0,156.0,0.0
100,21,1000,0.02703000000000003,0.02652000000000002,12.803,5.368,1872.0,156.0,0.0
100,22,1000,0.020519999999999997,0.020200000000000003,7.435,2.879,1716.0,156.0,0.0
100,23,1000,0.015859999999999923,0.015699999999999922,4.556,1.306,1560.0,156.0,0.0
100,24,1000,0.01232999999999994,0.012189999999999939,3.25,1.151,1404.0,156.0,0.0
100,25,1000,0.009429999999999947,0.009329999999999944,2.099,0.808,1248.0,156.0,0.0
100,26,1000,0.006909999999999969,0.006819999999999969,1.291,0.431,1092.0,156.0,0.0
100,27,1000,0.00508999999999998,0.005069999999999981,0.86,0.223,936.0,156.0,0.0
100,28,1000,0.004049999999999989,0.004049999999999989,0.637,0.23,780.0,156.0,0.0
100,29,1000,0.0029399999999999947,0.0029399999999999947,0.407,0.14,624.0,156.0,0.0
100,30,1000,0.0021300000000000004,0.0021300000000000004,0.267,0.085,468.0,156.0,0.0
100,31,1000,0.001720000000000001,0.001720000000000001,0.182,0.044,312.0,156.0,0.0
100,32,1000,0.0013800000000000008,0.0013800000000000008,0.138,0.138,156.0,156.0,0.0
