target,meets_target,method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,leaf_size,node_budget,exploration,seed,start_depth,candidate_target,reasons,source_setting_ids
0.8,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00023,100,15,1,3000,3,True,True,0.80501,0.7593959981022635,0.8843917001286171,2293.1197689649707,0.7587709988001734,0.7573540024168324,0.7624380014021881,73210340,247300096,2132.107,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d1024-followup-s00023,qwen-quora-d1024-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024-followup,32000000000,16809984,90020324,2132.107,qwen-quora-d1024::main-s00403,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00403', 'target': 0.8}]",['main-s00403']
0.9,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00404,100,57,1,3000,3,True,True,0.90021,1.8827084986696718,2.1711048009819933,5679.170193121536,1.8839374988601776,1.880124998933752,1.8851875011023367,71118616,293519360,7737.498,0.0,0.0,0.0,0.0,0.0,0.0,main-s00404,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,87928600,7737.498,qwen-quora-d1024::main-s00404,,,,,,,,
0.9,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00467,100,57,1,3000,3,True,True,0.90021,1.9375625015527476,2.2223107514946605,5830.913815891108,1.9349579997651745,1.9301459997222992,1.9458965016383445,154865432,380715008,7737.498,57.0,0.0,149.274,0.0,0.0,0.0,main-s00467,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,171675416,7737.498,qwen-quora-d1024::main-s00404,2048,8192,0,42,,,,
0.9,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00024,100,57,1,3000,3,True,True,0.90021,1.8729584971879376,2.1506836483240477,5637.677660142799,1.8729169987636851,1.8654585001058877,1.8831870002031792,73210340,247300096,7737.498,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d1024-followup-s00024,qwen-quora-d1024-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024-followup,32000000000,16809984,90020324,7737.498,qwen-quora-d1024::main-s00404,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00404', 'target': 0.9}]",['main-s00404']
0.95,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00405,100,170,1,3000,3,True,True,0.95004,4.861207999056205,5.426615199939987,14603.91628200523,4.8547085007157875,4.845937499339925,4.873374999078806,71118616,293519360,22585.081,0.0,0.0,0.0,0.0,0.0,0.0,main-s00405,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,87928600,22585.081,qwen-quora-d1024::main-s00405,,,,,,,,
0.95,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00471,100,170,1,3000,3,True,True,0.95004,4.918625500067719,5.518424400906952,14812.66331394363,4.92443750044913,4.902771497654612,4.9306665005133254,154865432,380715008,22585.081,170.0,0.0,437.165,0.0,0.0,0.0,main-s00471,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,171675416,22585.081,qwen-quora-d1024::main-s00405,2048,8192,0,42,,,,
0.95,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00025,100,170,1,3000,3,True,True,0.95004,4.841208501602523,5.398469050669519,14558.0851911036,4.85052050134982,4.812478999156156,4.869458500252222,73210340,247300096,22585.081,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d1024-followup-s00025,qwen-quora-d1024-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024-followup,32000000000,16809984,90020324,22585.081,qwen-quora-d1024::main-s00405,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00405', 'target': 0.95}]",['main-s00405']
0.99,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00406,100,874,1,3000,3,True,True,0.99,22.86314600132755,24.17616634957085,68547.74786691632,22.8891869992367,22.747708500901354,22.91672949831991,71118616,293519360,113571.472,0.0,0.0,0.0,0.0,0.0,0.0,main-s00406,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,87928600,113571.472,qwen-quora-d1024::main-s00406,,,,,,,,
0.99,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00475,100,874,1,3000,3,True,True,0.99,23.098228999515413,24.43504825241689,69272.12837500701,23.067000500304857,23.064625000188244,23.15908350101381,154865432,380715008,113571.472,874.0,0.0,2207.693,0.0,0.0,0.0,main-s00475,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,171675416,113571.472,qwen-quora-d1024::main-s00406,2048,8192,0,42,,,,
0.99,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00026,100,874,1,3000,3,True,True,0.99,22.93045899932622,24.25864615088358,68803.80842882732,23.05168800012325,22.646958499535685,23.05245850038773,73210340,247349248,113571.472,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d1024-followup-s00026,qwen-quora-d1024-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024-followup,32000000000,16809984,90020324,113571.472,qwen-quora-d1024::main-s00406,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00406', 'target': 0.99}]",['main-s00406']
