method,clusters,router,setting_id,top_k,probes,repetitions,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01269,75,354,1,,,,,,3000,3,True,True,0.99004,0.24249999842140824,0.2725452017330099,740.0831442355411,0.2424374979455024,0.24020899581955746,0.24541650782339275,8366896,77938688,47413.069,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01263,30,292,1,,,,,,3000,3,True,True,0.99,0.19854199490509927,0.21849999102414586,598.1011996773304,0.19852099649142474,0.19835450075333938,0.19877050362993032,8366896,77938688,39158.445,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01248,7,19,1,,,,,,3000,3,True,True,0.8027142857142857,0.023125001462176442,0.025627055583754544,69.963408561307,0.02316600875928998,0.023083994165062904,0.02316699828952551,8366896,77938688,2570.73,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01254,15,22,1,,,,,,3000,3,True,True,0.8005333333333333,0.026249996153637767,0.02896010482800192,79.32348725444172,0.02625000342959538,0.026124995201826096,0.026333997084293514,8366896,77938688,2975.703,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01255,15,50,1,,,,,,3000,3,True,True,0.9013333333333333,0.044625005102716386,0.05008300649933517,134.8633167508524,0.04475000605452806,0.044083004468120635,0.04504100070334971,8366896,77938688,6752.21,0.0,0.0,0.0,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01510,30,105,1,,,,,,3000,3,True,True,0.9503333333333334,0.08395800250582397,0.09558298988849856,254.17611369630322,0.08412500028498471,0.0834165039123036,0.08439550583716482,10458620,77103104,14137.271,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01417,75,134,1,0,42,2048,8192,True,3000,3,True,True,0.9501066666666667,0.12181250349385664,0.13720800052396953,368.63332739449106,0.1220834965351969,0.12112500553485006,0.12214550224598497,10965040,80576512,18026.948,134.0,0.0,346.423,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01361,30,26,1,0,42,2048,8192,True,3000,3,True,True,0.8015,0.033499993151053786,0.03733605044544673,101.27820099296514,0.03354200453031808,0.03320799442008138,0.03362500137882307,10965040,80576512,3515.834,26.0,0.0,67.467,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01250,7,80,1,,,,,,3000,3,True,True,0.9507142857142857,0.06145899533294141,0.06920800660736859,186.07626252924092,0.06145850056782365,0.06108300294727087,0.0618330086581409,8366896,77987840,10790.174,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01251,7,223,1,,,,,,3000,3,True,True,0.99,0.15387499297503382,0.1780083519406616,476.3042845734162,0.15522949979640543,0.15129150415305048,0.1552500034449622,8366896,77987840,29937.305,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01261,30,58,1,,,,,,3000,3,True,True,0.9012666666666667,0.05200000305194408,0.05891598993912339,157.6591960474616,0.05145849718246609,0.05124999734107405,0.05333299486665055,8366896,77987840,7829.971,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01256,15,91,1,,,,,,3000,3,True,True,0.9500666666666666,0.06979200406931341,0.08262500341515988,212.55545687745325,0.06924999615876004,0.06900000153109431,0.07187500887084752,8366896,77987840,12258.41,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01268,75,134,1,,,,,,3000,3,True,True,0.9501066666666667,0.11091699707321823,0.13379199663177133,344.80265954334754,0.11000000813510269,0.1098334978451021,0.11337499745422974,8366896,77987840,18026.948,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01402,75,35,1,0,42,2048,1024,True,3000,3,True,True,0.8022666666666667,0.04641600389732048,0.05325206220732069,141.21277669619303,0.04649999755201861,0.04612500197254121,0.04662499122787267,10965040,80642048,4732.377,35.0,0.0,90.851,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00090,15,9,1,0,42,128,8192,True,3000,3,True,True,0.9912,0.09299999510403723,0.2956586416985368,384.2903623881284,0.09112499537877738,0.08839549991535023,0.10093751188833266,10460464,71974912,2715.882,210.3,87801.385,20544.236,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00133,30,10,1,0,42,2048,1024,True,3000,3,True,True,0.9939666666666667,0.14833400200586766,0.4976753021765034,641.1287459341111,0.1488130001234822,0.1479579950682819,0.14887449651723728,10460464,72138752,29998.347,108.52,42406.958,13652.467,0.0,0.0,0.0,,,
