method,clusters,router,setting_id,top_k,probes,repetitions,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02866,50,169,1,,,,,,3000,3,True,True,0.95028,0.12241699732840061,0.14045799616724253,371.0405535821337,0.12358299863990396,0.12037499982398003,0.12381200212985277,8366896,77905920,11582.073,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,512,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-512-seed42,main-s02282,10,10,1,0,42,128,8192,True,3000,3,True,True,0.8083,0.030708499252796173,0.054500007536262274,101.39727655041497,0.030791503377258778,0.03041599120479077,0.030875002266839147,10521648,83329024,1772.822,134.754,1848.831,483.864,0.0,0.0,0.0,,,
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03380,20,29,1,,,,,,3000,3,True,True,0.8013,0.034832992241717875,0.04083300882484764,106.5165712061571,0.03470800584182143,0.03408349584788084,0.03579199983505532,10458620,77922304,1994.426,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
branch,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03027,15,27,1,0,42,512,8192,True,3000,3,True,True,0.8026666666666666,0.036375000490807,0.0560000044060871,124.30102622602135,0.0355829979525879,0.03487500362098217,0.04991699825040996,11395888,81297408,1856.737,27.0,0.0,41.526,0.0,0.0,0.0,,,
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03325,10,58,1,,,,,,3000,3,True,True,0.9008,0.049166003009304404,0.05833301111124456,150.63964224827942,0.049125010264106095,0.04845799412578344,0.05004149716114625,10458620,78282752,3987.888,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03500,100,51,1,,,,,,3000,3,True,True,0.80195,0.05720798799302429,0.0662520593323279,173.7580328481272,0.057167002523783594,0.0567914976272732,0.057541998103260994,10458620,78282752,3506.655,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03270,5,101,1,,,,,,3000,3,True,True,0.9502,0.07704200106672943,0.08829104554024525,233.43869537347928,0.07666699821129441,0.0758125024731271,0.07835450378479436,10458620,77824000,6931.356,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02848,15,128,1,,,,,,3000,3,True,True,0.9506666666666667,0.09612500434741378,0.11204520124010739,291.822926767054,0.09550000686431304,0.09306250285590068,0.0989795007626526,8366896,78249984,8780.804,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02847,15,64,1,,,,,,3000,3,True,True,0.9018,0.05439550295704976,0.06383715881383975,166.32896682131104,0.05491649790201336,0.051979004638269544,0.055999997130129486,8366896,78249984,4402.207,0.0,0.0,0.0,0.0,0.0,0.0,,,
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03350,15,27,1,,,,,,3000,3,True,True,0.8026666666666666,0.03358400135766715,0.039958051638677716,103.0595820338931,0.032916999771259725,0.03258300421293825,0.035333003324922174,10458620,77873152,1856.737,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
