recall,recall_low,recall_high,p50_ms,p95_ms,p50_low,p50_high,queries,blocks,timing_observations,setting_id,documents,top_k,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,lifetime_peak_bytes,qualified_environment
0.7884,0.7642975,0.81105125,0.5413959734141827,0.6192100699990988,0.5210416216868907,0.5652933963574469,200,3,1800,s6217,1000000,100,keys,ivf,4096,64,0,0,4,0,0,153272320,True
0.88345,0.86924875,0.8971,0.38537522777915,0.41522164829075336,0.382416183128953,0.38862559013068676,200,3,1800,s6218,100000,100,scan,ivf,1024,138,0,0,0,0,0,62717952,True
0.7869,0.76245,0.81030375,0.5088329780846834,0.5576724652200937,0.5012499168515205,0.5148958880454302,200,3,1800,s6225,1000000,100,scan,ivf,8192,112,0,0,0,0,0,190005248,True
0.9873,0.984,0.9901,7.301749894395471,7.819581520743668,7.193247566465288,7.389715785393491,200,3,1800,s6231,1000000,100,branch,ivf,8192,2097,0,1024,0,0,0,230965248,True
0.949,0.94349875,0.9542,0.1594794448465109,0.17021014355123043,0.15691714361310005,0.16145827248692513,200,3,1800,s6243,10000,100,scan,ivf,256,119,0,0,0,0,0,49758208,True
0.9906,0.9889,0.9923,0.22727041505277157,0.2392083639279008,0.2175410045310855,0.23016706109046936,200,3,1800,s6260,10000,100,scan,ivf,256,186,0,0,0,0,0,50135040,True
0.9906,0.9889,0.9923,0.2481455449014902,0.2610463881865144,0.24702022783458233,0.2491041086614132,200,3,1800,s6262,10000,100,branch,ivf,256,186,256,128,0,0,0,50429952,True
0.9426,0.932,0.9525,2.779936883598566,3.0334439128637314,2.7428253495600075,2.8218214691150934,200,3,1800,s6278,1000000,100,keys,ivf,8192,679,0,0,4,0,0,162332672,True
0.99095,0.98925,0.99245,0.25037513114511967,0.2629621420055628,0.248958810698241,0.25172956520691514,200,3,1800,s6281,10000,100,keys,ivf,64,51,0,0,4,0,0,50036736,True
0.9873,0.984,0.9901,8.167708292603493,8.976068859919906,8.070137328468263,8.247566618956625,200,3,1800,s6303,1000000,100,keys,ivf,8192,2097,0,0,4,0,0,162594816,True
0.8902,0.8748475,0.90480125,1.173895550891757,1.2780311983078718,1.1593331582844257,1.1900437413714826,200,3,1800,s6334,1000000,100,scan,ivf,8192,313,0,0,0,0,0,190169088,True
0.9873,0.984,0.9901,6.8552501033991575,7.269073068164289,6.813041865825653,6.911832839250565,200,3,1800,s6346,1000000,100,scan,ivf,8192,2097,0,0,0,0,0,190136320,True
