case_id,method,documents,phase,leaf_size,node_budget,key_bits,candidate_target,recall,p50_ms,predicted_p50_ms,p50_error_percent,p95_ms,predicted_p95_ms,within_twenty_percent,logical_index_bytes,array_capacity_bytes,rss_before_queries,sampled_query_peak,lifetime_peak_bytes,budget_status,mean_scored,mean_split_words,mean_leaf_words,mean_key_attempts,max_mask_bytes,max_key_queue_bytes,power_unchanged
92,keys,8192,check,0,0,4,0,1.0,0.23333285935223103,0.239239784329339,2.5315444183500535,0.25979047641158104,0.24021934941331957,True,328000,327680,48644096,52297728,52297728,fits_by_lifetime_peak,8192.0,0.0,0.0,16.0,0,128,True
93,branch,32768,check,32,0,0,0,1.0,2.8836666606366634,2.647449997655384,-8.191538439783706,2.9394515557214618,2.6583361604902715,True,2359296,2359296,52183040,56590336,56590336,fits_by_lifetime_peak,32768.0,766272.0,766784.0,0.0,1503232,0,True
94,branch,262144,fit,128,0,0,0,1.0,38.28047960996628,30.93969978688553,-19.17630055285301,43.49752075504511,31.07590265805053,True,18874368,18874368,97255424,100843520,100843520,fits_by_lifetime_peak,262144.0,12366848.0,12370944.0,0.0,22577152,0,True
95,branch,262144,fit,8,512,0,0,0.13625,1.577228307723999,1.9133141028758658,21.308633221074473,1.6308061545714736,1.9145241811508946,False,18874368,18874368,84869120,85311488,85311488,fits_by_lifetime_peak,573.25,1692672.0,404480.0,0.0,10616832,0,True
96,keys,131072,check,0,0,12,1000,0.042499999999999996,0.04514539614319801,0.04717222616346821,4.489560826626116,0.05628098733723163,0.047846516432227336,True,5324800,5242880,54853632,55050240,59015168,fits_by_lifetime_peak,1025.375,0.0,0.0,32.0,0,512,True
97,branch,16384,fit,8,512,0,0,0.395,0.20177080295979977,0.18994601886576845,-5.86050306613849,0.2242086688056588,0.19300778658093032,True,1179648,1179648,49414144,49594368,49594368,fits_by_lifetime_peak,886.375,91040.0,40032.0,0.0,432128,0,True
98,keys,65536,fit,0,0,12,1000,0.06625,0.0488960649818182,0.0480659875945898,-1.6976363794040716,0.06150198169052601,0.04835842558361567,True,2703360,2621440,51445760,51642368,53559296,fits_by_lifetime_peak,1006.875,0.0,0.0,64.0,0,2048,True
99,keys,4096,fit,0,0,8,1000,0.39875,0.049187568947672844,0.047933546330422405,-2.5494706164163228,0.05686699878424406,0.04846316168236921,True,168960,163840,48496640,48594944,48644096,fits_by_lifetime_peak,1007.75,0.0,0.0,62.125,0,1024,True
100,branch,4096,fit,32,0,0,0,1.0,0.19349996000528336,0.19271760731166743,-0.4043167210962561,0.21551703102886677,0.1953070451519486,True,294912,294912,48513024,51970048,51970048,fits_by_lifetime_peak,4096.0,11840.0,11904.0,0.0,28160,0,True
101,branch,8192,check,128,0,0,0,1.0,0.3034789115190506,0.3176711605529712,4.67651902495692,0.3487097565084696,0.319381189506203,True,589824,589824,48513024,52576256,52576256,fits_by_lifetime_peak,8192.0,12000.0,12128.0,0.0,31744,0,True
